Age Adjusted CI Lower,Age Adjusted CI Upper,Age Adjusted Rate,Area,Count,Crude CI Lower,Crude CI Upper,Crude Rate,Event Type,Population,Race,Sex,Year
384.4,402.0,393.1,Alabama,7884,468.6,489.8,479.1,Incidence,1645541,White,Female,2001
158.6,169.6,164.0,Alabama,3460,203.3,217.4,210.3,Mortality,1645541,White,Female,2001
391.6,409.3,400.4,Alabama,8058,478.8,500.2,489.4,Incidence,1646445,White,Female,2002
153.9,164.7,159.2,Alabama,3382,198.5,212.5,205.4,Mortality,1646445,White,Female,2002
359.1,376.0,367.5,Alabama,7468,442.2,462.7,452.4,Incidence,1650890,White,Female,2003
154.6,165.5,160.0,Alabama,3435,201.2,215.1,208.1,Mortality,1650890,White,Female,2003
382.1,399.5,390.7,Alabama,8002,472.2,493.5,482.8,Incidence,1657539,White,Female,2004
155.4,166.2,160.7,Alabama,3464,202.1,216.1,209.0,Mortality,1657539,White,Female,2004
384.1,401.5,392.7,Alabama,8143,478.0,499.2,488.5,Incidence,1666877,White,Female,2005
156.6,167.4,161.9,Alabama,3544,205.7,219.7,212.6,Mortality,1666877,White,Female,2005
385.6,402.9,394.1,Alabama,8276,480.6,501.8,491.1,Incidence,1685050,White,Female,2006
150.9,161.5,156.1,Alabama,3460,198.5,212.3,205.3,Mortality,1685050,White,Female,2006
393.0,410.4,401.6,Alabama,8531,491.9,513.3,502.6,Incidence,1697518,White,Female,2007
146.7,157.1,151.8,Alabama,3403,193.8,207.3,200.5,Mortality,1697518,White,Female,2007
398.1,405.8,401.9,Alabama,44031,508.1,517.6,512.8,Incidence,8585884,White,Female,2009
150.8,155.4,153.1,Alabama,17485,201.7,207.8,204.7,Mortality,8539689,White,Female,2009
403.8,421.3,412.5,Alabama,8961,513.2,535.0,524.0,Incidence,1710122,White,Female,2008
148.0,158.3,153.1,Alabama,3516,198.9,212.5,205.6,Mortality,1710122,White,Female,2008
399.1,416.5,407.7,Alabama,8931,508.5,530.1,519.2,Incidence,1720115,White,Female,2009
148.9,159.2,154.0,Alabama,3570,200.8,214.5,207.5,Mortality,1720115,White,Female,2009
391.7,408.8,400.2,Alabama,8904,505.0,526.4,515.6,Incidence,1726861,White,Female,2010
145.4,155.6,150.4,Alabama,3536,198.1,211.6,204.8,Mortality,1726884,White,Female,2010
379.6,396.4,387.9,Alabama,8704,492.2,513.4,502.8,Incidence,1731268,White,Female,2011
145.4,155.6,150.4,Alabama,3536,198.1,211.6,204.8,Mortality,1726884,White,Female,2011
258.3,275.6,266.8,Alabama,3912,241.3,257.0,249.1,Mortality,1570643,White,Male,1999
504.7,527.7,516.1,Alabama,8097,502.6,525.1,513.7,Incidence,1576095,White,Male,2000
268.7,286.2,277.3,Alabama,4137,254.5,270.6,262.5,Mortality,1576095,White,Male,2000
537.2,560.7,548.8,Alabama,8785,544.4,567.7,556.0,Incidence,1580087,White,Male,2001
255.3,272.3,263.7,Alabama,3961,242.9,258.6,250.7,Mortality,1580087,White,Male,2001
532.2,555.5,543.8,Alabama,8873,548.8,572.2,560.4,Incidence,1583267,White,Male,2002
256.0,272.9,264.3,Alabama,4053,248.2,264.0,256.0,Mortality,1583267,White,Male,2002
524.1,547.1,535.5,Alabama,8825,543.2,566.4,554.7,Incidence,1590946,White,Male,2003
253.3,269.9,261.5,Alabama,4102,250.0,265.8,257.8,Mortality,1590946,White,Male,2003
545.4,568.5,556.8,Alabama,9396,576.1,599.9,587.9,Incidence,1598272,White,Male,2004
247.1,263.4,255.2,Alabama,4057,246.1,261.8,253.8,Mortality,1598272,White,Male,2004
535.2,557.9,546.4,Alabama,9392,571.9,595.6,583.7,Incidence,1609163,White,Male,2005
243.2,259.1,251.1,Alabama,4067,245.0,260.6,252.7,Mortality,1609163,White,Male,2005
552.6,575.2,563.8,Alabama,10013,602.6,626.8,614.6,Incidence,1629110,White,Male,2006
243.0,258.7,250.7,Alabama,4170,248.3,263.9,256.0,Mortality,1629110,White,Male,2006
557.0,579.5,568.2,Alabama,10301,614.9,639.1,626.9,Incidence,1643115,White,Male,2007
240.6,256.0,248.2,Alabama,4242,250.5,266.1,258.2,Mortality,1643115,White,Male,2007
546.9,556.6,551.7,Alabama,51910,618.6,629.4,624.0,Incidence,8319320,White,Male,2009
240.8,247.6,244.2,Alabama,21371,254.9,261.8,258.4,Mortality,8271927,White,Male,2009
559.2,581.6,570.3,Alabama,10525,623.3,647.7,635.4,Incidence,1656414,White,Male,2008
237.0,252.1,244.5,Alabama,4294,251.5,267.1,259.2,Mortality,1656414,White,Male,2008
546.4,568.4,557.3,Alabama,10452,614.3,638.3,626.2,Incidence,1669087,White,Male,2009
234.0,248.9,241.4,Alabama,4329,251.7,267.2,259.4,Mortality,1669087,White,Male,2009
530.9,552.4,541.6,Alabama,10408,609.8,633.8,621.7,Incidence,1674032,White,Male,2010
229.6,244.2,236.8,Alabama,4336,251.3,266.8,259.0,Mortality,1674201,White,Male,2010
513.1,534.0,523.4,Alabama,10224,598.0,621.7,609.8,Incidence,1676672,White,Male,2011
229.6,244.2,236.8,Alabama,4336,251.3,266.8,259.0,Mortality,1674201,White,Male,2011
198.1,207.5,202.7,Alabama,7285,221.7,232.1,226.9,Mortality,3211308,White,Male and Female,1999
421.9,435.5,428.7,Alabama,15538,475.0,490.2,482.6,Incidence,3219856,White,Male and Female,2000
203.6,213.0,208.2,Alabama,7575,230.0,240.6,235.3,Mortality,3219856,White,Male and Female,2000
448.2,462.1,455.1,Alabama,16669,509.0,524.7,516.8,Incidence,3225628,White,Male and Female,2001
197.8,207.1,202.4,Alabama,7421,224.9,235.4,230.1,Mortality,3225628,White,Male and Female,2001
450.4,464.3,457.3,Alabama,16931,516.4,532.2,524.2,Incidence,3229712,White,Male and Female,2002
196.0,205.2,200.6,Alabama,7435,225.0,235.5,230.2,Mortality,3229712,White,Male and Female,2002
428.1,441.5,434.7,Alabama,16293,494.9,510.4,502.6,Incidence,3241836,White,Male and Female,2003
196.2,205.3,200.7,Alabama,7537,227.3,237.8,232.5,Mortality,3241836,White,Male and Female,2003
451.2,465.0,458.1,Alabama,17398,526.5,542.4,534.4,Incidence,3255811,White,Male and Female,2004
193.7,202.7,198.1,Alabama,7521,225.8,236.3,231.0,Mortality,3255811,White,Male and Female,2004
448.9,462.6,455.7,Alabama,17535,527.4,543.2,535.2,Incidence,3276040,White,Male and Female,2005
193.3,202.3,197.8,Alabama,7611,227.1,237.6,232.3,Mortality,3276040,White,Male and Female,2005
458.7,472.4,465.5,Alabama,18289,543.9,559.9,551.8,Incidence,3314160,White,Male and Female,2006
189.7,198.5,194.1,Alabama,7630,225.1,235.4,230.2,Mortality,3314160,White,Male and Female,2006
465.1,478.7,471.9,Alabama,18832,555.7,571.8,563.7,Incidence,3340633,White,Male and Female,2007
186.8,195.5,191.1,Alabama,7645,223.7,234.0,228.8,Mortality,3340633,White,Male and Female,2007
461.9,467.9,464.9,Alabama,95941,563.9,571.1,567.5,Incidence,16905204,White,Male and Female,2009
188.8,192.6,190.7,Alabama,38856,228.8,233.4,231.1,Mortality,16811616,White,Male and Female,2009
472.1,485.8,478.9,Alabama,19486,570.7,587.0,578.8,Incidence,3366536,White,Male and Female,2008
187.3,195.9,191.5,Alabama,7810,226.9,237.2,232.0,Mortality,3366536,White,Male and Female,2008
463.2,476.7,469.9,Alabama,19383,563.9,580.0,571.9,Incidence,3389202,White,Male and Female,2009
186.2,194.8,190.5,Alabama,7899,228.0,238.3,233.1,Mortality,3389202,White,Male and Female,2009
453.4,466.7,460.0,Alabama,19312,559.9,575.9,567.9,Incidence,3400893,White,Male and Female,2010
182.4,190.7,186.5,Alabama,7872,226.4,236.6,231.5,Mortality,3401085,White,Male and Female,2010
438.2,451.1,444.6,Alabama,18928,547.5,563.4,555.4,Incidence,3407940,White,Male and Female,2011
182.4,190.7,186.5,Alabama,7872,226.4,236.6,231.5,Mortality,3401085,White,Male and Female,2011
425.5,488.9,456.4,Alaska,941,292.7,333.0,312.3,Incidence,301266,All Races,Female,1999
148.5,190.0,168.4,Alaska,295,87.1,109.8,97.9,Mortality,301266,All Races,Female,1999
431.3,493.4,461.6,Alaska,982,303.9,344.8,323.9,Incidence,303213,All Races,Female,2000
163.0,205.2,183.3,Alaska,331,97.7,121.6,109.2,Mortality,303213,All Races,Female,2000
419.3,478.6,448.2,Alaska,1016,312.4,353.6,332.5,Incidence,305579,All Races,Female,2001
149.3,188.9,168.4,Alaska,315,92.0,115.1,103.1,Mortality,305579,All Races,Female,2001
391.9,448.0,419.3,Alaska,986,298.9,339.0,318.4,Incidence,309633,All Races,Female,2002
141.3,178.8,159.3,Alaska,317,91.4,114.3,102.4,Mortality,309633,All Races,Female,2002
404.6,460.9,432.1,Alaska,1045,313.9,354.7,333.8,Incidence,313034,All Races,Female,2003
140.3,177.1,158.0,Alaska,322,91.9,114.7,102.9,Mortality,313034,All Races,Female,2003
418.2,474.3,445.7,Alaska,1116,330.9,372.4,351.2,Incidence,317807,All Races,Female,2004
135.5,171.3,152.7,Alaska,317,89.1,111.4,99.7,Mortality,317807,All Races,Female,2004
428.4,484.8,456.0,Alaska,1148,337.3,379.0,357.7,Incidence,320920,All Races,Female,2005
130.3,164.1,146.6,Alaska,328,91.4,113.9,102.2,Mortality,320920,All Races,Female,2005
422.2,476.9,449.0,Alaska,1192,346.1,388.1,366.6,Incidence,325121,All Races,Female,2006
150.9,186.9,168.3,Alaska,381,105.7,129.6,117.2,Mortality,325121,All Races,Female,2006
406.9,459.8,432.8,Alaska,1181,340.7,382.2,361.0,Incidence,327138,All Races,Female,2007
145.8,180.6,162.5,Alaska,383,105.6,129.4,117.1,Mortality,327138,All Races,Female,2007
413.0,435.5,424.1,Alaska,6221,360.3,378.7,369.4,Incidence,1684131,All Races,Female,2009
153.5,168.7,161.0,Alaska,1958,112.7,123.2,117.9,Mortality,1661250,All Races,Female,2009
419.6,472.0,445.2,Alaska,1272,365.2,408.0,386.1,Incidence,329412,All Races,Female,2008
142.9,176.6,159.1,Alaska,397,109.0,133.0,120.5,Mortality,329412,All Races,Female,2008
390.2,440.3,414.7,Alaska,1215,340.5,381.4,360.5,Incidence,337002,All Races,Female,2009
149.9,184.4,166.5,Alaska,404,108.5,132.2,119.9,Mortality,337002,All Races,Female,2009
396.5,445.8,420.6,Alaska,1289,356.0,397.4,376.3,Incidence,342540,All Races,Female,2010
134.4,166.2,149.7,Alaska,393,103.7,126.6,114.7,Mortality,342577,All Races,Female,2010
386.1,434.4,409.8,Alaska,1264,343.4,383.8,363.2,Incidence,348039,All Races,Female,2011
134.4,166.2,149.7,Alaska,393,103.7,126.6,114.7,Mortality,342577,All Races,Female,2011
527.8,608.8,567.4,Alaska,1026,298.0,337.2,317.1,Incidence,323513,All Races,Male,1999
201.0,258.9,228.8,Alaska,338,93.6,116.2,104.5,Mortality,323513,All Races,Male,1999
549.1,631.4,589.3,Alaska,1072,310.6,350.5,330.1,Incidence,324750,All Races,Male,2000
218.0,276.7,246.2,Alaska,373,103.5,127.1,114.9,Mortality,324750,All Races,Male,2000
565.5,646.1,604.9,Alaska,1172,337.0,378.2,357.2,Incidence,328135,All Races,Male,2001
209.1,265.0,236.0,Alaska,374,102.7,126.1,114.0,Mortality,328135,All Races,Male,2001
567.1,645.3,605.4,Alaska,1253,356.0,398.1,376.6,Incidence,332704,All Races,Male,2002
210.3,265.4,236.9,Alaska,398,108.2,132.0,119.6,Mortality,332704,All Races,Male,2002
536.1,611.3,572.9,Alaska,1219,343.3,384.5,363.5,Incidence,335380,All Races,Male,2003
208.7,261.8,234.3,Alaska,413,111.6,135.6,123.1,Mortality,335380,All Races,Male,2003
556.1,629.8,592.2,Alaska,1317,365.1,407.1,385.7,Incidence,341479,All Races,Male,2004
203.8,255.0,228.5,Alaska,411,109.0,132.6,120.4,Mortality,341479,All Races,Male,2004
480.5,547.0,513.0,Alaska,1222,333.6,373.5,353.2,Incidence,346026,All Races,Male,2005
188.4,237.0,211.8,Alaska,404,105.6,128.7,116.8,Mortality,346026,All Races,Male,2005
503.8,571.5,536.9,Alaska,1304,352.4,393.2,372.4,Incidence,350181,All Races,Male,2006
175.3,219.8,196.7,Alaska,409,105.8,128.7,116.8,Mortality,350181,All Races,Male,2006
493.2,558.9,525.4,Alaska,1334,357.7,398.6,377.7,Incidence,353162,All Races,Male,2007
193.8,240.3,216.2,Alaska,456,117.5,141.5,129.1,Mortality,353162,All Races,Male,2007
487.9,515.1,501.4,Alaska,6986,374.8,392.9,383.8,Incidence,1820425,All Races,Male,2009
200.8,220.5,210.5,Alaska,2317,123.9,134.5,129.1,Mortality,1794848,All Races,Male,2009
494.5,558.2,525.7,Alaska,1398,370.3,411.5,390.5,Incidence,358043,All Races,Male,2008
192.5,237.1,214.0,Alaska,470,119.7,143.7,131.3,Mortality,358043,All Races,Male,2008
487.4,550.1,518.1,Alaska,1431,375.2,416.5,395.4,Incidence,361893,All Races,Male,2009
190.5,234.0,211.6,Alaska,491,123.9,148.2,135.7,Mortality,361893,All Races,Male,2009
477.5,537.8,507.0,Alaska,1455,371.8,412.3,391.6,Incidence,371506,All Races,Male,2010
192.3,235.5,213.2,Alaska,491,120.7,144.4,132.1,Mortality,371569,All Races,Male,2010
415.1,469.0,441.5,Alaska,1368,345.0,383.8,364.0,Incidence,375821,All Races,Male,2011
192.3,235.5,213.2,Alaska,491,120.7,144.4,132.1,Mortality,371569,All Races,Male,2011
481.5,531.5,506.1,Alaska,1967,301.1,329.1,314.8,Incidence,624779,All Races,Male and Female,1999
177.5,211.1,193.8,Alaska,633,93.6,109.5,101.3,Mortality,624779,All Races,Male and Female,1999
490.9,540.2,515.1,Alaska,2054,313.1,341.5,327.1,Incidence,627963,All Races,Male and Female,2000
192.3,226.2,208.8,Alaska,704,104.0,120.7,112.1,Mortality,627963,All Races,Male and Female,2000
493.1,540.8,516.6,Alaska,2188,330.9,360.0,345.3,Incidence,633714,All Races,Male and Female,2001
181.0,213.2,196.7,Alaska,689,100.8,117.2,108.7,Mortality,633714,All Races,Male and Female,2001
480.3,526.2,502.9,Alaska,2239,334.3,363.3,348.6,Incidence,642337,All Races,Male and Female,2002
177.1,208.2,192.3,Alaska,715,103.3,119.8,111.3,Mortality,642337,All Races,Male and Female,2002
472.0,516.9,494.1,Alaska,2264,334.9,363.8,349.2,Incidence,648414,All Races,Male and Female,2003
175.5,205.7,190.2,Alaska,735,105.3,121.9,113.4,Mortality,648414,All Races,Male and Female,2003
489.7,534.3,511.7,Alaska,2433,354.5,384.0,369.0,Incidence,659286,All Races,Male and Female,2004
171.5,201.0,185.9,Alaska,728,102.5,118.7,110.4,Mortality,659286,All Races,Male and Female,2004
460.2,502.6,481.1,Alaska,2370,341.2,370.0,355.4,Incidence,666946,All Races,Male and Female,2005
159.8,187.4,173.3,Alaska,732,101.9,118.0,109.8,Mortality,666946,All Races,Male and Female,2005
465.5,507.5,486.2,Alaska,2496,355.3,384.4,369.6,Incidence,675302,All Races,Male and Female,2006
166.3,193.7,179.7,Alaska,790,109.0,125.4,117.0,Mortality,675302,All Races,Male and Female,2006
451.9,492.5,471.9,Alaska,2515,355.4,384.4,369.7,Incidence,680300,All Races,Male and Female,2007
171.8,199.4,185.2,Alaska,839,115.1,132.0,123.3,Mortality,680300,All Races,Male and Female,2007
448.9,466.1,457.5,Alaska,13207,370.5,383.3,376.9,Incidence,3504556,All Races,Male and Female,2009
176.6,188.5,182.5,Alaska,4275,120.0,127.5,123.7,Mortality,3456098,All Races,Male and Female,2009
459.8,499.8,479.5,Alaska,2670,373.8,403.4,388.4,Incidence,687455,All Races,Male and Female,2008
170.1,196.9,183.2,Alaska,867,117.9,134.8,126.1,Mortality,687455,All Races,Male and Female,2008
441.5,480.3,460.6,Alaska,2646,364.3,393.3,378.6,Incidence,698895,All Races,Male and Female,2009
173.4,200.2,186.5,Alaska,895,119.8,136.7,128.1,Mortality,698895,All Races,Male and Female,2009
439.1,476.9,457.8,Alaska,2744,370.0,398.9,384.3,Incidence,714046,All Races,Male and Female,2010
165.4,191.0,177.9,Alaska,884,115.8,132.2,123.8,Mortality,714146,All Races,Male and Female,2010
405.6,441.1,423.1,Alaska,2632,349.8,377.8,363.6,Incidence,723860,All Races,Male and Female,2011
165.4,191.0,177.9,Alaska,884,115.8,132.2,123.8,Mortality,714146,All Races,Male and Female,2011
227.6,664.8,409.7,Alaska,22,108.5,262.1,173.1,Incidence,12710,Black,Female,1999
0,0,0,Alaska,0,0,0,0,Mortality,12710,Black,Female,1999
125.1,410.0,238.9,Alaska,16,71.9,204.1,125.7,Incidence,12728,Black,Female,2000
0,0,0,Alaska,0,0,0,0,Mortality,12728,Black,Female,2000
287.5,736.4,479.2,Alaska,27,137.9,304.4,209.2,Incidence,12905,Black,Female,2001
0,0,0,Alaska,0,0,0,0,Mortality,12905,Black,Female,2001
256.9,634.4,418.0,Alaska,27,133.9,295.7,203.2,Incidence,13286,Black,Female,2002
0,0,0,Alaska,0,0,0,0,Mortality,13286,Black,Female,2002
238.9,596.9,391.2,Alaska,26,126.6,283.9,193.8,Incidence,13418,Black,Female,2003
0,0,0,Alaska,0,0,0,0,Mortality,13418,Black,Female,2003
229.7,525.9,356.0,Alaska,29,143.7,308.1,214.5,Incidence,13519,Black,Female,2004
0,0,0,Alaska,0,0,0,0,Mortality,13519,Black,Female,2004
213.5,543.4,353.6,Alaska,23,108.8,257.5,171.6,Incidence,13402,Black,Female,2005
0,0,0,Alaska,0,0,0,0,Mortality,13402,Black,Female,2005
136.0,394.4,242.2,Alaska,18,78.4,209.0,132.2,Incidence,13612,Black,Female,2006
0,0,0,Alaska,0,0,0,0,Mortality,13612,Black,Female,2006
261.8,604.2,409.8,Alaska,30,147.4,311.8,218.4,Incidence,13735,Black,Female,2007
0,0,0,Alaska,0,0,0,0,Mortality,13735,Black,Female,2007
291.6,422.5,353.0,Alaska,141,166.2,232.8,197.4,Incidence,71429,Black,Female,2009
97.3,194.1,140.5,Alaska,40,40.8,77.9,57.2,Mortality,69958,Black,Female,2009
232.3,572.5,378.3,Alaska,27,129.2,285.3,196.1,Incidence,13771,Black,Female,2008
0,0,0,Alaska,0,0,0,0,Mortality,13771,Black,Female,2008
204.2,492.6,327.7,Alaska,27,124.4,274.7,188.8,Incidence,14302,Black,Female,2009
0,0,0,Alaska,0,0,0,0,Mortality,14302,Black,Female,2009
288.8,617.0,432.5,Alaska,34,162.1,327.0,234.0,Incidence,14529,Black,Female,2010
0,0,0,Alaska,0,0,0,0,Mortality,14538,Black,Female,2010
148.8,368.8,241.8,Alaska,23,96.6,228.7,152.4,Incidence,15092,Black,Female,2011
0,0,0,Alaska,0,0,0,0,Mortality,14538,Black,Female,2011
523.3,1375.8,887.4,Alaska,32,157.5,325.0,230.2,Incidence,13900,Black,Male,1999
0,0,0,Alaska,0,0,0,0,Mortality,13900,Black,Male,1999
478.6,1059.6,730.3,Alaska,35,174.4,348.2,250.4,Incidence,13979,Black,Male,2000
0,0,0,Alaska,0,0,0,0,Mortality,13979,Black,Male,2000
460.2,989.8,689.6,Alaska,37,180.4,353.1,256.2,Incidence,14442,Black,Male,2001
202.0,645.8,382.4,Alaska,17,68.6,188.5,117.7,Mortality,14442,Black,Male,2001
333.9,733.1,503.7,Alaska,36,169.6,335.1,242.1,Incidence,14871,Black,Male,2002
0,0,0,Alaska,0,0,0,0,Mortality,14871,Black,Male,2002
324.3,772.6,515.2,Alaska,31,142.5,297.8,209.8,Incidence,14778,Black,Male,2003
0,0,0,Alaska,0,0,0,0,Mortality,14778,Black,Male,2003
553.1,1175.5,828.6,Alaska,41,194.3,367.3,270.7,Incidence,15144,Black,Male,2004
0,0,0,Alaska,0,0,0,0,Mortality,15144,Black,Male,2004
336.4,705.4,496.8,Alaska,40,185.9,354.4,260.3,Incidence,15369,Black,Male,2005
156.6,562.4,321.9,Alaska,17,64.4,177.1,110.6,Mortality,15369,Black,Male,2005
287.8,700.1,464.4,Alaska,33,146.9,299.7,213.4,Incidence,15466,Black,Male,2006
0,0,0,Alaska,0,0,0,0,Mortality,15466,Black,Male,2006
345.8,804.0,544.6,Alaska,37,164.3,321.6,233.3,Incidence,15857,Black,Male,2007
173.9,591.6,345.6,Alaska,17,62.5,171.7,107.2,Mortality,15857,Black,Male,2007
481.2,677.6,574.0,Alaska,219,229.0,299.8,262.6,Incidence,83381,Black,Male,2009
183.7,339.1,254.3,Alaska,63,59.7,99.4,77.7,Mortality,81105,Black,Male,2009
360.9,822.8,561.4,Alaska,42,185.7,348.2,257.6,Incidence,16304,Black,Male,2008
187.7,617.1,364.8,Alaska,18,65.4,174.5,110.4,Mortality,16304,Black,Male,2008
417.2,910.6,634.1,Alaska,44,196.5,363.0,270.4,Incidence,16271,Black,Male,2009
0,0,0,Alaska,0,0,0,0,Mortality,16271,Black,Male,2009
551.2,1070.4,783.8,Alaska,59,261.3,442.7,343.2,Incidence,17191,Black,Male,2010
0,0,0,Alaska,0,0,0,0,Mortality,17207,Black,Male,2010
227.8,536.7,360.5,Alaska,37,146.7,287.2,208.4,Incidence,17758,Black,Male,2011
0,0,0,Alaska,0,0,0,0,Mortality,17207,Black,Male,2011
425.9,808.9,597.9,Alaska,54,152.4,264.8,202.9,Incidence,26610,Black,Male and Female,1999
0,0,0,Alaska,0,0,0,0,Mortality,26610,Black,Male and Female,1999
338.8,648.5,477.1,Alaska,51,142.2,251.1,191.0,Incidence,26707,Black,Male and Female,2000
133.2,361.7,229.4,Alaska,21,48.7,120.2,78.6,Mortality,26707,Black,Male and Female,2000
428.4,767.7,582.1,Alaska,64,180.2,298.9,234.0,Incidence,27347,Black,Male and Female,2001
126.9,353.3,222.3,Alaska,21,47.5,117.4,76.8,Mortality,27347,Black,Male and Female,2001
350.8,632.1,477.6,Alaska,63,171.9,286.3,223.7,Incidence,28157,Black,Male and Female,2002
138.4,370.4,237.0,Alaska,22,49.0,118.3,78.1,Mortality,28157,Black,Male and Female,2002
323.9,602.3,448.9,Alaska,57,153.1,261.9,202.2,Incidence,28196,Black,Male and Female,2003
101.6,305.5,186.5,Alaska,16,32.4,92.2,56.7,Mortality,28196,Black,Male and Female,2003
416.7,726.6,557.7,Alaska,70,190.4,308.6,244.2,Incidence,28663,Black,Male and Female,2004
98.5,312.8,187.6,Alaska,16,31.9,90.6,55.8,Mortality,28663,Black,Male and Female,2004
322.6,570.4,434.6,Alaska,63,168.3,280.2,219.0,Incidence,28771,Black,Male and Female,2005
118.8,309.8,200.0,Alaska,26,59.0,132.4,90.4,Mortality,28771,Black,Male and Female,2005
245.5,471.5,346.2,Alaska,51,130.6,230.6,175.4,Incidence,29078,Black,Male and Female,2006
0,0,0,Alaska,0,0,0,0,Mortality,29078,Black,Male and Female,2006
346.4,619.5,470.2,Alaska,67,175.5,287.5,226.4,Incidence,29592,Black,Male and Female,2007
142.3,359.7,235.9,Alaska,25,54.7,124.7,84.5,Mortality,29592,Black,Male and Female,2007
400.5,511.2,453.6,Alaska,360,209.1,257.8,232.5,Incidence,154810,Black,Male and Female,2009
150.2,234.2,189.4,Alaska,103,55.7,82.7,68.2,Mortality,151063,Black,Male and Female,2009
350.3,625.9,475.4,Alaska,69,178.5,290.4,229.4,Incidence,30075,Black,Male and Female,2008
168.2,396.8,267.8,Alaska,28,61.9,134.6,93.1,Mortality,30075,Black,Male and Female,2008
347.0,608.8,466.2,Alaska,71,181.4,292.9,232.2,Incidence,30573,Black,Male and Female,2009
0,0,0,Alaska,0,0,0,0,Mortality,30573,Black,Male and Female,2009
458.8,742.2,589.5,Alaska,93,236.6,359.2,293.2,Incidence,31720,Black,Male and Female,2010
153.0,362.5,244.2,Alaska,28,58.6,127.5,88.2,Mortality,31745,Black,Male and Female,2010
216.2,390.5,294.5,Alaska,60,139.4,235.1,182.6,Incidence,32850,Black,Male and Female,2011
153.0,362.5,244.2,Alaska,28,58.6,127.5,88.2,Mortality,31745,Black,Male and Female,2011
351.6,1337.6,752.2,Alaska,21,111.4,275.2,180.0,Incidence,11664,Hispanic,Female,1999
0,0,0,Alaska,0,0,0,0,Mortality,11664,Hispanic,Female,1999
147.5,541.0,303.3,Alaska,17,78.3,215.3,134.5,Incidence,12643,Hispanic,Female,2000
0,0,0,Alaska,0,0,0,0,Mortality,12643,Hispanic,Female,2000
372.4,983.0,633.5,Alaska,28,137.3,298.7,206.7,Incidence,13547,Hispanic,Female,2001
0,0,0,Alaska,0,0,0,0,Mortality,13547,Hispanic,Female,2001
138.5,472.5,272.2,Alaska,18,73.8,196.8,124.5,Incidence,14458,Hispanic,Female,2002
0,0,0,Alaska,0,0,0,0,Mortality,14458,Hispanic,Female,2002
0,0,0,Alaska,0,0,0,0,Incidence,15227,Hispanic,Female,2003
0,0,0,Alaska,0,0,0,0,Mortality,15227,Hispanic,Female,2003
