Name,Number of Permits.1 unit,Number of Permits.2 units,Number of Permits.3-4 units,Number of Permits.5+ units,Valuations.1 unit,Valuations.2 units,Valuations.3-4 units,Valuations.5+ units,full,month,month name,year
Mississippi,789,0,4,82,83156,0,146,3169,2003/06,6,June,2003
Oklahoma,1056,42,4,19,145263,2608,173,894,2003/06,6,June,2003
Minnesota,3245,74,77,450,497828,7798,4968,43408,2003/06,6,June,2003
Illinois,4543,116,244,1673,736772,11112,20690,164494,2003/06,6,June,2003
Georgia,6529,42,98,840,769867,6117,2943,48246,2003/06,6,June,2003
Arkansas,888,22,27,133,122022,1227,1530,7201,2003/06,6,June,2003
New Mexico,1117,2,19,92,154961,112,826,3778,2003/06,6,June,2003
Indiana,3138,150,56,1148,472526,13498,4457,57347,2003/06,6,June,2003
Maryland,3239,6,15,288,427061,338,1043,17459,2003/06,6,June,2003
Texas,12235,276,352,3924,1577494,17304,23069,235035,2003/06,6,June,2003
Wyoming,181,4,3,5,28774,250,833,223,2003/06,6,June,2003
Tennessee,3075,50,15,307,374895,2361,695,21345,2003/06,6,June,2003
Iowa,1368,34,31,153,194479,2846,1505,10240,2003/06,6,June,2003
Wisconsin,2814,200,105,1075,432109,21972,7846,53296,2003/06,6,June,2003
Arizona,6077,48,85,1157,862408,3607,7117,81987,2003/06,6,June,2003
Louisiana,1547,254,193,279,179913,16533,9389,15198,2003/06,6,June,2003
Michigan,4539,62,44,543,645233,6159,3892,37186,2003/06,6,June,2003
Kansas,1087,58,3,0,153167,5234,298,0,2003/06,6,June,2003
Utah,1651,40,94,85,227446,4539,7843,6843,2003/06,6,June,2003
Virginia,4468,38,60,1565,604277,1862,4214,75144,2003/06,6,June,2003
Oregon,1682,62,74,286,304130,6146,5558,20858,2003/06,6,June,2003
Connecticut,823,14,4,296,160480,1326,290,14758,2003/06,6,June,2003
District of Columbia,10,0,0,259,1304,0,0,15841,2003/06,6,June,2003
New Hampshire,613,20,13,194,98945,2235,1467,14459,2003/06,6,June,2003
Massachusetts,1158,110,69,378,218307,10463,5943,24374,2003/06,6,June,2003
West Virginia,393,48,4,5,50235,3623,237,226,2003/06,6,June,2003
South Carolina,2877,58,41,332,381970,3443,2677,20167,2003/06,6,June,2003
Vermont,267,12,0,10,39504,1115,0,625,2003/06,6,June,2003
Delaware,535,0,0,5,59957,0,0,80,2003/06,6,June,2003
North Dakota,251,0,8,161,36344,0,787,10967,2003/06,6,June,2003
California,13038,206,322,2537,2473946,24538,32924,227210,2003/06,6,June,2003
Pennsylvania,3277,36,106,311,456293,2338,7077,27778,2003/06,6,June,2003
Florida,13526,268,490,3581,1971557,20012,59632,253804,2003/06,6,June,2003
Kentucky,1397,24,17,119,165455,1337,839,5346,2003/06,6,June,2003
Rhode Island,168,4,14,26,26270,238,556,423,2003/06,6,June,2003
Nebraska,832,4,0,60,112149,285,0,2756,2003/06,6,June,2003
Missouri,1933,136,112,531,261907,9423,7118,23938,2003/06,6,June,2003
Ohio,4000,96,92,957,653652,8963,7263,43863,2003/06,6,June,2003
Alabama,1864,16,15,398,235346,943,917,55141,2003/06,6,June,2003
South Dakota,386,4,4,36,34187,426,38,4616,2003/06,6,June,2003
Alaska,146,58,38,204,27410,7290,3117,25102,2003/06,6,June,2003
Colorado,3135,46,33,517,527161,11412,2742,37718,2003/06,6,June,2003
Idaho,1050,10,91,199,159587,798,5472,8036,2003/06,6,June,2003
New Jersey,1939,162,42,303,256790,14689,3517,16647,2003/06,6,June,2003
Washington,2955,100,112,821,466758,9862,9379,57993,2003/06,6,June,2003
North Carolina,6457,106,62,717,881154,6838,2608,45421,2003/06,6,June,2003
Maine,673,10,10,12,89697,572,989,743,2003/06,6,June,2003
New York,2564,558,363,1130,412296,53415,29458,74534,2003/06,6,June,2003
Montana,213,32,21,17,30393,2010,1598,962,2003/06,6,June,2003
Nevada,3346,6,161,528,425232,866,14775,27703,2003/06,6,June,2003
Hawaii,427,2,11,213,82618,198,928,18205,2003/06,6,June,2003
Mississippi,938,0,3,240,106281,0,181,15279,2003/07,7,July,2003
Oklahoma,1345,64,0,86,162658,5010,0,5492,2003/07,7,July,2003
Minnesota,3191,70,80,623,521454,8996,5839,50681,2003/07,7,July,2003
Illinois,4372,118,223,1005,733480,11265,26692,95382,2003/07,7,July,2003
Georgia,6975,62,57,1595,832898,7624,2329,92539,2003/07,7,July,2003
Arkansas,793,50,55,442,112371,2840,1321,15063,2003/07,7,July,2003
New Mexico,1048,0,11,100,136277,0,549,4140,2003/07,7,July,2003
Indiana,3230,168,49,264,490142,14051,3873,13634,2003/07,7,July,2003
Maryland,1954,4,4,218,259223,317,315,12184,2003/07,7,July,2003
Texas,12699,142,160,1503,1624607,8751,8019,76284,2003/07,7,July,2003
Wyoming,196,20,3,5,34481,1762,833,223,2003/07,7,July,2003
Tennessee,3001,36,13,236,370470,2830,741,13416,2003/07,7,July,2003
Iowa,1399,8,35,317,187046,1145,2544,24777,2003/07,7,July,2003
Wisconsin,2717,190,120,537,415103,18310,7973,32335,2003/07,7,July,2003
Arizona,5848,78,36,379,866271,4612,2013,23898,2003/07,7,July,2003
Louisiana,1435,10,0,421,177877,428,0,26301,2003/07,7,July,2003
Michigan,4531,40,60,379,657867,3533,4551,20827,2003/07,7,July,2003
Kansas,1064,84,83,5,153023,7201,5138,298,2003/07,7,July,2003
Utah,1557,36,69,172,220568,3581,5904,14104,2003/07,7,July,2003
Virginia,4196,50,13,337,568292,2750,1090,18338,2003/07,7,July,2003
Oregon,1745,62,92,275,311886,6356,7675,19045,2003/07,7,July,2003
Connecticut,832,18,15,80,161652,1373,901,3961,2003/07,7,July,2003
District of Columbia,9,0,0,69,1173,0,0,4220,2003/07,7,July,2003
New Hampshire,617,38,25,100,103044,3183,2251,6730,2003/07,7,July,2003
Massachusetts,1260,64,51,541,243323,5407,4582,39381,2003/07,7,July,2003
West Virginia,439,6,3,13,56993,219,200,693,2003/07,7,July,2003
South Carolina,2875,12,66,998,400062,811,4264,54189,2003/07,7,July,2003
Vermont,232,18,7,19,32560,1199,607,699,2003/07,7,July,2003
Delaware,621,0,0,47,72810,0,0,2322,2003/07,7,July,2003
North Dakota,259,2,4,131,34661,150,240,7569,2003/07,7,July,2003
California,12207,182,273,3405,2330421,19396,24194,279697,2003/07,7,July,2003
Pennsylvania,3609,58,134,334,511891,5318,11632,24025,2003/07,7,July,2003
Florida,13788,244,348,2826,1982962,21916,39303,256341,2003/07,7,July,2003
Kentucky,1586,36,40,183,203632,1629,1439,9965,2003/07,7,July,2003
Rhode Island,172,10,0,32,26191,588,0,432,2003/07,7,July,2003
Nebraska,933,14,0,85,118330,958,0,4063,2003/07,7,July,2003
Missouri,2193,110,124,507,303277,9015,6662,29005,2003/07,7,July,2003
Ohio,4148,132,148,726,663783,12371,12148,42238,2003/07,7,July,2003
Alabama,1943,6,0,173,240587,296,0,8543,2003/07,7,July,2003
South Dakota,454,2,15,179,51553,166,941,12644,2003/07,7,July,2003
Alaska,170,34,9,36,31054,5068,664,5480,2003/07,7,July,2003
Colorado,3276,66,53,404,570867,8216,4696,36962,2003/07,7,July,2003
Idaho,1286,30,59,22,195868,2719,3014,639,2003/07,7,July,2003
New Jersey,1833,204,76,454,252044,17881,9364,25749,2003/07,7,July,2003
Washington,3148,88,30,822,495144,8216,2698,61492,2003/07,7,July,2003
North Carolina,5824,92,60,790,823279,5885,3918,42878,2003/07,7,July,2003
Maine,688,14,22,17,85100,1034,1633,1153,2003/07,7,July,2003
New York,2401,564,312,1012,393911,54177,25631,66617,2003/07,7,July,2003
Montana,214,16,39,13,32566,1566,3033,802,2003/07,7,July,2003
Nevada,3210,0,40,1072,402371,0,2874,57581,2003/07,7,July,2003
Hawaii,477,2,12,10,97073,198,1728,973,2003/07,7,July,2003
Mississippi,948,0,75,276,118093,0,4139,12579,2003/08,8,August,2003
Oklahoma,1072,10,204,274,148021,603,12000,13367,2003/08,8,August,2003
Minnesota,2920,60,106,690,479277,7422,10505,68155,2003/08,8,August,2003
Illinois,4211,140,359,1226,703121,14086,35182,118439,2003/08,8,August,2003
Georgia,6874,36,89,1644,833492,5633,3111,86368,2003/08,8,August,2003
Arkansas,1096,114,7,137,150371,8729,360,6601,2003/08,8,August,2003
New Mexico,974,0,12,151,143769,0,549,5737,2003/08,8,August,2003
Indiana,3098,154,130,717,473184,14277,10561,80294,2003/08,8,August,2003
Maryland,1770,4,44,341,246398,317,1045,19389,2003/08,8,August,2003
Texas,12087,208,146,2436,1591027,12877,5245,138559,2003/08,8,August,2003
Wyoming,191,2,11,0,31791,130,1083,0,2003/08,8,August,2003
Tennessee,3074,28,15,380,405481,2751,1046,18725,2003/08,8,August,2003
Iowa,1095,20,65,213,156365,2167,6391,18240,2003/08,8,August,2003
Wisconsin,2503,250,100,459,386938,25839,7834,26694,2003/08,8,August,2003
Arizona,5796,50,47,226,890284,3745,4085,16231,2003/08,8,August,2003
Louisiana,1450,60,26,59,177364,2837,1889,3685,2003/08,8,August,2003
Michigan,4077,96,43,826,591179,7023,3848,47261,2003/08,8,August,2003
Kansas,877,26,45,204,134186,3038,3500,14062,2003/08,8,August,2003
Utah,1688,36,49,357,247338,3723,3889,26105,2003/08,8,August,2003
Virginia,4474,24,13,774,596423,1818,931,42654,2003/08,8,August,2003
Oregon,1688,66,78,223,305796,4406,6440,13495,2003/08,8,August,2003
Connecticut,747,36,4,94,159017,2219,328,3506,2003/08,8,August,2003
District of Columbia,6,0,0,0,782,0,0,0,2003/08,8,August,2003
New Hampshire,583,36,10,152,97186,3414,822,21408,2003/08,8,August,2003
Massachusetts,1088,56,57,917,205321,4776,5546,73621,2003/08,8,August,2003
West Virginia,431,4,4,12,55063,261,237,480,2003/08,8,August,2003
South Carolina,2490,18,44,225,342065,928,3366,27443,2003/08,8,August,2003
Vermont,207,12,4,27,27054,1328,221,1639,2003/08,8,August,2003
Delaware,595,0,0,95,68822,0,0,5585,2003/08,8,August,2003
North Dakota,339,2,43,156,50152,150,4440,7690,2003/08,8,August,2003
California,11042,210,204,3155,2139546,23601,16377,301049,2003/08,8,August,2003
Pennsylvania,3210,42,84,572,458550,3316,6233,42286,2003/08,8,August,2003
Florida,13701,306,378,4354,1985167,26658,46527,420563,2003/08,8,August,2003
Kentucky,1594,46,95,72,199145,2342,3504,3558,2003/08,8,August,2003
Rhode Island,167,6,0,49,25602,416,0,829,2003/08,8,August,2003
Nebraska,648,42,0,60,86243,3623,0,3060,2003/08,8,August,2003
Missouri,1984,162,197,179,283068,15353,13603,12295,2003/08,8,August,2003
Ohio,3947,98,149,489,651684,9410,12214,22118,2003/08,8,August,2003
Alabama,1984,34,9,274,237949,1085,300,8985,2003/08,8,August,2003
South Dakota,353,14,20,9,43471,1115,2316,590,2003/08,8,August,2003
Alaska,165,60,23,6,30065,8630,2412,589,2003/08,8,August,2003
Colorado,2891,68,64,410,502155,14725,5472,33032,2003/08,8,August,2003
Idaho,1077,24,141,141,154806,1873,4931,5980,2003/08,8,August,2003
New Jersey,1981,176,124,526,257532,13665,9644,34179,2003/08,8,August,2003
Washington,2916,94,85,902,492041,8307,6435,60648,2003/08,8,August,2003
North Carolina,6247,110,40,960,877227,6270,2903,85845,2003/08,8,August,2003
Maine,639,18,16,27,82634,1761,1283,1663,2003/08,8,August,2003
New York,2227,376,439,2548,357785,37598,33697,180499,2003/08,8,August,2003
Montana,202,22,25,51,28272,2157,2424,2181,2003/08,8,August,2003
Nevada,2730,0,31,908,366295,0,2706,55023,2003/08,8,August,2003
Hawaii,411,8,16,32,79307,679,1816,2195,2003/08,8,August,2003
Mississippi,1023,8,7,44,107764,336,195,1684,2003/09,9,September,2003
Oklahoma,1059,18,44,79,143373,1424,1173,4653,2003/09,9,September,2003
Minnesota,3446,80,135,853,545860,9744,11690,73586,2003/09,9,September,2003
Illinois,4210,194,270,1204,726791,18090,15504,90649,2003/09,9,September,2003
Georgia,7050,86,79,1985,841047,8132,3233,115562,2003/09,9,September,2003
Arkansas,824,48,30,454,103801,3153,1344,17836,2003/09,9,September,2003
New Mexico,1119,4,8,65,153434,157,240,6833,2003/09,9,September,2003
Indiana,3107,158,232,518,468144,14991,15800,24155,2003/09,9,September,2003
Maryland,1760,0,15,488,241180,0,1306,29413,2003/09,9,September,2003
Texas,11296,286,254,3279,1465055,18971,17937,188734,2003/09,9,September,2003
Wyoming,182,8,4,10,31410,660,1111,513,2003/09,9,September,2003
Tennessee,2788,50,86,159,361818,3707,4076,8852,2003/09,9,September,2003
Iowa,1078,58,59,208,156093,5689,3155,22027,2003/09,9,September,2003
Wisconsin,2614,212,146,767,416589,19631,11711,64369,2003/09,9,September,2003
Arizona,5738,74,22,768,864109,5107,878,50060,2003/09,9,September,2003
Louisiana,1425,28,13,679,171322,1573,425,31930,2003/09,9,September,2003
Michigan,4612,68,133,891,651531,5475,12669,64909,2003/09,9,September,2003
Kansas,753,36,19,375,123777,3451,2087,21222,2003/09,9,September,2003
Utah,1682,16,93,383,251203,1608,8252,26992,2003/09,9,September,2003
Virginia,3792,42,24,491,513378,2185,1563,18013,2003/09,9,September,2003
Oregon,1631,120,298,455,284930,11820,16866,29003,2003/09,9,September,2003
Connecticut,701,26,8,158,142422,1718,780,5843,2003/09,9,September,2003
District of Columbia,8,0,0,90,1043,0,0,5505,2003/09,9,September,2003
New Hampshire,544,10,14,37,91341,988,1409,2843,2003/09,9,September,2003
Massachusetts,1138,48,47,192,229664,4251,4352,14178,2003/09,9,September,2003
West Virginia,359,4,6,10,46035,381,328,534,2003/09,9,September,2003
South Carolina,2644,20,57,254,341866,1158,3638,19212,2003/09,9,September,2003
Vermont,199,24,3,10,27905,2593,180,537,2003/09,9,September,2003
Delaware,575,4,0,13,63559,180,0,280,2003/09,9,September,2003
North Dakota,247,0,48,46,34484,0,3555,2693,2003/09,9,September,2003
California,11671,196,433,2728,2322715,20341,40470,241473,2003/09,9,September,2003
Pennsylvania,3231,36,63,210,476333,2929,4332,13687,2003/09,9,September,2003
Florida,12547,328,268,3206,1897743,31957,27098,304539,2003/09,9,September,2003
Kentucky,1605,48,58,238,190679,2878,2160,13887,2003/09,9,September,2003
Rhode Island,213,4,3,31,33102,238,356,4089,2003/09,9,September,2003
Nebraska,783,46,3,192,104082,3829,270,14274,2003/09,9,September,2003
Missouri,1953,160,37,237,279401,11921,2093,10370,2003/09,9,September,2003
Ohio,4106,154,251,662,654513,14980,18706,33103,2003/09,9,September,2003
Alabama,1800,20,16,468,211051,1094,1009,23110,2003/09,9,September,2003
South Dakota,425,18,11,5,49965,1721,1187,70,2003/09,9,September,2003
Alaska,140,186,3,35,28036,24376,292,5315,2003/09,9,September,2003
Colorado,2931,38,87,428,528751,4787,8422,33721,2003/09,9,September,2003
Idaho,1233,26,107,54,170475,2223,5067,3460,2003/09,9,September,2003
New Jersey,1895,194,58,445,254148,16479,3536,28441,2003/09,9,September,2003
Washington,2912,108,102,762,465884,10799,8133,96648,2003/09,9,September,2003
North Carolina,5652,56,73,857,793539,5396,4735,66125,2003/09,9,September,2003
Maine,665,12,13,18,90719,883,1143,987,2003/09,9,September,2003
New York,2300,454,367,1005,380967,44288,29708,69017,2003/09,9,September,2003
Montana,220,48,40,62,31613,4345,2398,2941,2003/09,9,September,2003
Nevada,3035,6,247,941,390835,432,15582,39256,2003/09,9,September,2003
Hawaii,395,0,0,8,79780,0,0,625,2003/09,9,September,2003
Mississippi,1046,0,8,101,109045,0,229,4398,2003/10,10,October,2003
Oklahoma,1089,22,3,211,149036,1781,94,12617,2003/10,10,October,2003
Minnesota,3356,110,98,688,533962,13469,10727,60980,2003/10,10,October,2003
Illinois,4843,192,194,1795,831248,21923,25676,162339,2003/10,10,October,2003
Georgia,7021,114,78,1369,843463,9271,3251,97140,2003/10,10,October,2003
Arkansas,824,24,22,269,113543,2230,965,18829,2003/10,10,October,2003
New Mexico,1124,6,10,0,159713,478,1061,0,2003/10,10,October,2003
Indiana,3202,148,43,325,489164,14683,2855,23174,2003/10,10,October,2003
Maryland,2025,24,7,357,283429,853,487,21334,2003/10,10,October,2003
Texas,11254,208,101,3521,1498197,12766,4796,173416,2003/10,10,October,2003
Wyoming,182,2,3,16,34240,131,833,763,2003/10,10,October,2003
Tennessee,3274,24,35,766,430654,1891,2577,33700,2003/10,10,October,2003
Iowa,1199,46,24,120,177150,4511,1935,6235,2003/10,10,October,2003
Wisconsin,2988,256,117,475,481967,23801,8679,41844,2003/10,10,October,2003
Arizona,5594,60,306,952,856940,4494,25604,66158,2003/10,10,October,2003
Louisiana,1563,14,23,407,198949,874,1416,21930,2003/10,10,October,2003
Michigan,4829,74,93,853,687506,6466,8520,54381,2003/10,10,October,2003
Kansas,983,50,16,825,150773,5595,1547,27009,2003/10,10,October,2003
Utah,1797,32,147,169,252421,3232,12777,13023,2003/10,10,October,2003
Virginia,3962,104,96,1132,533663,6527,6770,60698,2003/10,10,October,2003
Oregon,1781,78,121,420,305042,6900,9016,28641,2003/10,10,October,2003
Connecticut,887,18,18,550,170537,2060,1202,166815,2003/10,10,October,2003
District of Columbia,10,2,0,49,1304,146,0,2997,2003/10,10,October,2003
New Hampshire,592,66,7,176,99957,6681,772,8618,2003/10,10,October,2003
Massachusetts,1287,74,48,367,244166,8027,4801,31793,2003/10,10,October,2003
West Virginia,392,24,6,15,61571,1237,302,855,2003/10,10,October,2003
South Carolina,2772,22,17,415,360580,1988,854,28489,2003/10,10,October,2003
Vermont,249,10,6,19,33744,1226,380,1110,2003/10,10,October,2003
Delaware,701,0,8,10,74206,0,700,160,2003/10,10,October,2003
North Dakota,240,4,6,104,34609,180,571,6125,2003/10,10,October,2003
California,13351,216,446,5773,2663169,23711,42732,490930,2003/10,10,October,2003
Pennsylvania,3327,62,88,885,483271,5477,8339,50295,2003/10,10,October,2003
Florida,14072,366,325,4919,2044455,33630,36203,464414,2003/10,10,October,2003
Kentucky,1738,56,30,387,212446,3440,735,22328,2003/10,10,October,2003
Rhode Island,243,6,14,143,36929,312,665,6958,2003/10,10,October,2003
Nebraska,818,28,0,97,111699,2737,0,7030,2003/10,10,October,2003
Missouri,2052,102,75,381,292909,9255,2816,22210,2003/10,10,October,2003
Ohio,4181,82,141,827,690350,7621,11921,35105,2003/10,10,October,2003
Alabama,1751,16,0,436,240176,817,0,21250,2003/10,10,October,2003
South Dakota,393,8,7,12,46173,1010,567,486,2003/10,10,October,2003
Alaska,165,78,0,86,30253,9990,0,8886,2003/10,10,October,2003
Colorado,3548,50,45,752,584852,6350,3974,60604,2003/10,10,October,2003
Idaho,1312,50,58,144,191833,4299,2690,6361,2003/10,10,October,2003
New Jersey,2105,252,169,878,311789,24148,10680,55028,2003/10,10,October,2003
Washington,2934,122,147,317,472341,10701,12175,23114,2003/10,10,October,2003
North Carolina,6226,66,104,1126,885063,4901,6842,58832,2003/10,10,October,2003
Maine,590,24,11,50,82104,2442,1222,5754,2003/10,10,October,2003
New York,2490,576,413,1181,397877,56492,34138,89473,2003/10,10,October,2003
Montana,202,48,59,157,27494,4256,5063,7515,2003/10,10,October,2003
Nevada,2640,4,83,854,375607,398,6072,34853,2003/10,10,October,2003
Hawaii,455,0,0,13,100435,0,0,1265,2003/10,10,October,2003
Mississippi,766,2,6,94,82605,68,119,4061,2003/11,11,November,2003
Oklahoma,799,18,3,133,112916,1294,209,7272,2003/11,11,November,2003
Minnesota,2200,86,112,599,373286,11327,9698,56492,2003/11,11,November,2003
Illinois,2878,118,198,1701,529966,13317,15407,109994,2003/11,11,November,2003
Georgia,5142,38,74,949,635800,5366,1965,54959,2003/11,11,November,2003
Arkansas,587,12,13,40,82363,856,770,1541,2003/11,11,November,2003
New Mexico,828,0,7,9,119201,0,392,1343,2003/11,11,November,2003
Indiana,2173,134,37,516,341801,13354,2998,47003,2003/11,11,November,2003
Maryland,1458,46,0,451,196377,2629,0,25591,2003/11,11,November,2003
Texas,8361,118,150,2526,1078186,8564,6444,131989,2003/11,11,November,2003
Wyoming,115,2,3,34,18966,96,833,1226,2003/11,11,November,2003
Tennessee,2094,36,62,98,281337,2894,2947,4809,2003/11,11,November,2003
Iowa,1019,28,14,276,140684,2535,1170,25459,2003/11,11,November,2003
Wisconsin,2051,230,82,734,350601,20428,6974,45651,2003/11,11,November,2003
Arizona,4343,60,24,890,654768,5203,2453,43098,2003/11,11,November,2003
Louisiana,1137,16,20,203,138090,763,818,12590,2003/11,11,November,2003
Michigan,2903,40,82,384,425513,4242,8816,24268,2003/11,11,November,2003
Kansas,762,194,106,174,117855,16162,7608,7926,2003/11,11,November,2003
Utah,1264,18,72,188,178283,2697,5122,14493,2003/11,11,November,2003
Virginia,3082,30,71,439,416690,2638,5060,25530,2003/11,11,November,2003
Oregon,1055,26,67,124,185698,2283,7160,8292,2003/11,11,November,2003
Connecticut,633,16,6,134,128419,1642,620,9432,2003/11,11,November,2003
District of Columbia,6,0,0,0,782,0,0,0,2003/11,11,November,2003
New Hampshire,385,16,6,61,63547,1876,670,3183,2003/11,11,November,2003
Massachusetts,1000,84,90,557,193155,7682,8699,43144,2003/11,11,November,2003
West Virginia,282,24,8,37,34891,1089,362,3635,2003/11,11,November,2003
South Carolina,1966,20,15,315,262903,1250,1223,21545,2003/11,11,November,2003
Vermont,148,22,3,20,21083,1944,166,2088,2003/11,11,November,2003
Delaware,613,0,0,149,62537,0,0,4400,2003/11,11,November,2003
North Dakota,148,0,0,96,20729,0,0,3958,2003/11,11,November,2003
California,9718,170,207,3299,1891655,17126,21227,288524,2003/11,11,November,2003
Pennsylvania,2502,26,112,869,370831,3002,7266,58634,2003/11,11,November,2003
Florida,10552,424,211,2106,1635906,22120,23783,294501,2003/11,11,November,2003
Kentucky,1144,22,34,55,134499,1468,1036,3171,2003/11,11,November,2003
Rhode Island,192,8,14,35,31172,440,603,861,2003/11,11,November,2003
Nebraska,534,14,4,213,68708,1022,225,10845,2003/11,11,November,2003
Missouri,1563,124,41,321,229758,9980,3063,16852,2003/11,11,November,2003
Ohio,2979,74,213,373,511991,7398,22815,20039,2003/11,11,November,2003
Alabama,1443,36,7,271,179536,1605,371,32412,2003/11,11,November,2003
South Dakota,289,10,14,0,34731,904,882,0,2003/11,11,November,2003
Alaska,91,8,30,0,18118,1464,4658,0,2003/11,11,November,2003
Colorado,2220,32,14,509,385071,3429,1434,35312,2003/11,11,November,2003
Idaho,983,10,25,42,137207,765,1266,1750,2003/11,11,November,2003
New Jersey,1735,188,73,354,238118,16251,4068,22346,2003/11,11,November,2003
Washington,2104,70,60,444,339899,6562,5705,35369,2003/11,11,November,2003
North Carolina,4598,124,65,836,657286,5246,3580,43155,2003/11,11,November,2003
Maine,403,24,6,22,61609,2084,431,1435,2003/11,11,November,2003
New York,1846,662,326,850,315291,63864,26857,53988,2003/11,11,November,2003
Montana,126,24,17,55,19094,2299,1315,2773,2003/11,11,November,2003
Nevada,2088,2,41,535,296290,184,2929,25200,2003/11,11,November,2003
Hawaii,376,10,0,44,75723,1303,0,4087,2003/11,11,November,2003
Mississippi,690,4,7,103,74388,255,265,8119,2003/12,12,December,2003
Oklahoma,922,48,0,67,131396,3524,0,1763,2003/12,12,December,2003
Minnesota,2007,62,149,1441,359232,6368,15104,131978,2003/12,12,December,2003
Illinois,2580,90,183,991,504380,8392,15858,77857,2003/12,12,December,2003
Georgia,6784,58,42,1181,846325,5294,2149,60749,2003/12,12,December,2003
Arkansas,644,28,3,306,91870,1529,189,19577,2003/12,12,December,2003
New Mexico,888,8,18,90,116318,366,1444,3729,2003/12,12,December,2003
Indiana,1988,112,70,506,324786,9840,4987,21771,2003/12,12,December,2003
Maryland,1998,0,0,512,286140,0,0,30185,2003/12,12,December,2003
Texas,9567,142,123,3156,1254355,8714,5452,165788,2003/12,12,December,2003
Wyoming,117,2,0,5,20596,134,0,290,2003/12,12,December,2003
Tennessee,2344,34,31,947,309165,2926,1407,55131,2003/12,12,December,2003
Iowa,644,34,15,451,102754,3292,1353,45375,2003/12,12,December,2003
Wisconsin,1503,192,155,706,247096,18766,14039,62999,2003/12,12,December,2003
Arizona,5827,58,58,848,941451,4214,4520,65279,2003/12,12,December,2003
Louisiana,1216,26,67,241,152862,1640,2580,13073,2003/12,12,December,2003
Michigan,2652,28,21,384,412679,2069,2271,24319,2003/12,12,December,2003
Kansas,1070,20,27,45,146037,1412,1789,2222,2003/12,12,December,2003
Utah,1243,22,29,117,188580,2760,2844,7031,2003/12,12,December,2003
Virginia,3495,22,52,1584,512891,1547,3499,64462,2003/12,12,December,2003
Oregon,1184,58,49,451,213956,5285,4987,34418,2003/12,12,December,2003
Connecticut,594,16,12,122,126027,1136,937,7740,2003/12,12,December,2003
District of Columbia,20,0,0,0,2607,0,0,0,2003/12,12,December,2003
New Hampshire,336,8,39,201,55099,615,2874,11125,2003/12,12,December,2003
