12-17,12-20,18-25,26+,Rates.Alcohol.Abuse Past Year.12-17,Rates.Alcohol.Abuse Past Year.18-25,Rates.Alcohol.Abuse Past Year.26+,Rates.Alcohol.Binge Past Month.12-17,Rates.Alcohol.Binge Past Month.18-25,Rates.Alcohol.Binge Past Month.26+,Rates.Alcohol.Dependence Past Year.12-17,Rates.Alcohol.Dependence Past Year.18-25,Rates.Alcohol.Dependence Past Year.26+,Rates.Alcohol.In Minors.Abuse,Rates.Alcohol.In Minors.Use,Rates.Alcohol.Need Treatment Past Year.12-17,Rates.Alcohol.Need Treatment Past Year.18-25,Rates.Alcohol.Need Treatment Past Year.26+,Rates.Alcohol.Perceptions of Risk.12-17,Rates.Alcohol.Perceptions of Risk.18-25,Rates.Alcohol.Perceptions of Risk.26+,Rates.Alcohol.Use Past Month.12-17,Rates.Alcohol.Use Past Month.18-25,Rates.Alcohol.Use Past Month.26+,Rates.Illicit Drugs.Abuse Past Month.12-17,Rates.Illicit Drugs.Abuse Past Month.18-25,Rates.Illicit Drugs.Abuse Past Month.26+,Rates.Illicit Drugs.All Except Marijuana Used Past Month.12-17,Rates.Illicit Drugs.All Except Marijuana Used Past Month.18-25,Rates.Illicit Drugs.All Except Marijuana Used Past Month.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.18-25,Rates.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Dependence Past Year.12-17,Rates.Illicit Drugs.Dependence Past Year.18-25,Rates.Illicit Drugs.Dependence Past Year.26+,Rates.Illicit Drugs.Need Treatment Past Year.12-17,Rates.Illicit Drugs.Need Treatment Past Year.18-25,Rates.Illicit Drugs.Need Treatment Past Year.26+,Rates.Illicit Drugs.Used Past Month.12-17,Rates.Illicit Drugs.Used Past Month.18-25,Rates.Illicit Drugs.Used Past Month.26+,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Rates.Marijuana.Perceptions of Risk.12-17,Rates.Marijuana.Perceptions of Risk.18-25,Rates.Marijuana.Perceptions of Risk.26+,Rates.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.18-25,Rates.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.18-25,Rates.Marijuana.Used Past Year.26+,Rates.Pain Relievers Abuse Past Year.12-17,Rates.Pain Relievers Abuse Past Year.18-25,Rates.Pain Relievers Abuse Past Year.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Perceptions of Risk.12-17,Rates.Tobacco.Perceptions of Risk.18-25,Rates.Tobacco.Perceptions of Risk.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+,State,Totals.Alcohol.Abuse Past Year.12-17,Totals.Alcohol.Abuse Past Year.18-25,Totals.Alcohol.Abuse Past Year.26+,Totals.Alcohol.Binge Past Month.12-17,Totals.Alcohol.Binge Past Month.18-25,Totals.Alcohol.Binge Past Month.26+,Totals.Alcohol.Dependence Past Year.12-17,Totals.Alcohol.Dependence Past Year.18-25,Totals.Alcohol.Dependence Past Year.26+,Totals.Alcohol.In Minors.Abuse,Totals.Alcohol.In Minors.Use,Totals.Alcohol.Need Treatment Past Year.12-17,Totals.Alcohol.Need Treatment Past Year.18-25,Totals.Alcohol.Need Treatment Past Year.26+,Totals.Alcohol.Perceptions of Risk.12-17,Totals.Alcohol.Perceptions of Risk.18-25,Totals.Alcohol.Perceptions of Risk.26+,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.18-25,Totals.Alcohol.Use Past Month.26+,Totals.Illicit Drugs.Abuse Past Month.12-17,Totals.Illicit Drugs.Abuse Past Month.18-25,Totals.Illicit Drugs.Abuse Past Month.26+,Totals.Illicit Drugs.All Except Marijuana Used Past Month.12-17,Totals.Illicit Drugs.All Except Marijuana Used Past Month.18-25,Totals.Illicit Drugs.All Except Marijuana Used Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Illicit Drugs.Dependence Past Year.12-17,Totals.Illicit Drugs.Dependence Past Year.18-25,Totals.Illicit Drugs.Dependence Past Year.26+,Totals.Illicit Drugs.Need Treatment Past Year.12-17,Totals.Illicit Drugs.Need Treatment Past Year.18-25,Totals.Illicit Drugs.Need Treatment Past Year.26+,Totals.Illicit Drugs.Used Past Month.12-17,Totals.Illicit Drugs.Used Past Month.18-25,Totals.Illicit Drugs.Used Past Month.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Totals.Marijuana.Perceptions of Risk.12-17,Totals.Marijuana.Perceptions of Risk.18-25,Totals.Marijuana.Perceptions of Risk.26+,Totals.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Month.18-25,Totals.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,Totals.Pain Relievers Abuse Past Year.12-17,Totals.Pain Relievers Abuse Past Year.18-25,Totals.Pain Relievers Abuse Past Year.26+,Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Totals.Tobacco.Perceptions of Risk.12-17,Totals.Tobacco.Perceptions of Risk.18-25,Totals.Tobacco.Perceptions of Risk.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Year
384241,582609,498410,2801413,4.83,13.65,4.91,8.23,34.97,16.45,1.67,5.54,2.41,16.45,24.88,4.65,13.2,4.65,42.74,37.64,48.17,15.0,50.96,37.27,9.65,15.94,4.57,5.36,8.06,2.73,1.66,5.49,1.75,2.56,4.65,1.15,4.25,5.94,1.28,9.65,15.94,4.57,5.97,6.23,0.09,39.58,30.97,52.76,6.37,12.47,2.6,12.75,23.79,5.03,8.01,12.98,3.03,13.69,39.24,25.88,62.18,62.28,70.21,16.66,45.2,33.07,Alabama,1855,6803,13754,3162,17429,46083,641,2761,6751,9583,14495,1786,6579,13026,16422,18760,134944,5763,25398,104408,3707,7944,12802,2059,4017,7647,637,2736,4902,983,2317,3221,1633,2960,3585,3707,7944,12802,2293,3105,252,15208,15435,147802,2447,6215,7283,4899,11857,14091,3077,6469,8488,5260,19557,72500,23892,31040,196687,6401,22528,92642,2002
66297,95288,71817,371982,6.15,18.79,7.37,11.42,41.22,22.26,2.33,7.09,3.45,19.42,26.43,5.37,18.23,6.44,35.13,29.24,43.78,15.9,59.83,55.92,13.34,27.29,9.17,5.39,8.51,2.97,2.44,8.37,1.38,3.33,6.0,1.18,5.55,8.08,1.83,13.34,27.29,9.17,7.77,8.43,0.16,25.38,17.53,29.65,11.08,23.99,7.14,18.87,38.9,12.46,8.09,12.72,3.58,13.25,43.97,24.96,66.56,65.46,71.83,16.39,48.43,30.42,Alaska,407,1349,2741,757,2960,8280,154,509,1283,1850,2518,356,1309,2395,2329,2099,16285,1054,4296,20801,884,1959,3411,357,611,1104,161,601,513,220,430,438,367,580,680,884,1959,3411,515,605,59,1682,1258,11029,734,1722,2655,1251,2793,4634,536,913,1331,878,3157,9284,4412,4701,26719,1086,3478,11315,2002
462128,694553,628081,3266065,7.38,19.36,7.75,11.94,41.43,23.04,3.2,7.94,3.29,19.76,28.64,7.16,18.75,7.54,36.77,33.66,41.0,18.69,58.45,53.29,12.61,18.88,6.53,7.22,8.98,3.51,3.24,8.53,2.57,3.77,5.88,1.02,6.65,7.8,1.88,12.61,18.88,6.53,6.42,6.01,0.14,34.76,26.48,43.9,7.74,15.18,3.67,16.96,27.54,6.46,9.35,13.91,4.18,12.84,38.85,27.6,64.39,70.87,74.29,15.11,39.8,31.0,Arizona,3410,12159,25312,5517,26021,75250,1478,4986,10745,13724,19891,3308,11776,24626,16992,21141,133908,8637,36711,174048,5827,11858,21327,3336,5640,11463,1497,5357,8393,1742,3693,3331,3073,4899,6140,5827,11858,21327,2966,3774,457,16063,16631,143380,3576,9534,11986,7837,17297,21098,4320,8736,13652,5933,24400,90143,29756,44512,242635,6982,24997,101248,2002
233609,351391,303163,1685457,6.15,17.59,5.98,11.31,39.76,19.99,2.34,6.9,2.77,18.84,25.16,6.08,17.14,5.76,41.25,35.99,44.93,16.71,53.79,39.34,11.72,21.05,4.89,6.54,9.24,2.62,1.86,6.05,1.52,2.97,5.29,1.22,4.78,7.51,1.52,11.72,21.05,4.89,6.67,7.11,0.1,39.51,27.94,51.23,7.97,16.48,3.39,15.76,28.89,6.15,7.95,13.38,3.15,16.05,50.97,31.92,61.55,60.58,70.08,19.57,55.88,39.12,Arkansas,1436,5332,10079,2642,12053,33692,546,2091,4668,6620,8840,1420,5196,9708,9636,10910,75727,3903,16307,66305,2737,6381,8241,1527,2801,4415,434,1834,2561,693,1603,2056,1116,2276,2561,2737,6381,8241,1558,2155,168,9229,8470,86345,1861,4996,5713,3681,8758,10365,1857,4056,5309,3749,15452,53799,14378,18365,118116,4571,16940,65935,2002
3073501,4596513,4058084,20953491,5.51,14.83,6.07,9.16,35.41,20.43,1.87,6.11,3.13,16.09,24.67,5.05,14.54,5.84,38.79,37.05,48.0,15.28,55.53,55.38,11.44,18.83,6.86,5.79,7.02,3.11,1.7,6.61,1.92,2.62,5.22,1.15,4.57,7.33,1.72,11.44,18.83,6.86,5.88,6.27,0.14,32.86,25.51,39.22,7.66,16.09,4.57,14.11,28.29,7.81,7.53,9.79,4.02,7.48,31.77,18.83,67.07,72.52,79.05,9.22,35.14,22.07,California,16934,60181,127187,28153,143696,428079,5747,24794,65584,73957,113395,15521,59004,122368,119221,150352,1005767,46963,225345,1160404,35160,76413,143740,17795,28487,65165,5224,26823,40230,8052,21183,24096,14045,29745,36040,35160,76413,143740,18072,25444,2933,100995,103521,821795,23543,65294,95757,43367,114803,163646,23143,39728,84233,22989,128925,394554,206139,294292,1656373,28337,142601,462443,2002
384257,583714,528285,2759880,6.71,20.66,7.54,11.04,46.73,24.1,2.51,7.74,3.2,21.31,33.02,6.24,20.0,6.87,32.48,28.41,40.94,20.63,68.89,62.79,13.83,25.52,8.24,6.47,9.8,3.53,2.64,10.29,2.96,2.78,6.46,1.13,4.72,9.68,1.66,13.83,25.52,8.24,7.59,8.1,0.2,28.97,17.51,30.67,9.82,21.67,6.01,19.55,36.57,10.73,8.98,13.94,4.31,13.74,44.56,25.43,63.77,61.3,72.75,17.44,49.95,29.86,Colorado,2578,10914,20809,4242,24686,66513,964,4088,8831,12438,19274,2397,10565,18960,12480,15008,112989,7927,36393,173292,5314,13481,22741,2486,5177,9742,1014,5436,8169,1068,3412,3118,1813,5113,4581,5314,13481,22741,2916,4279,551,11131,9250,84645,3773,11447,16586,7512,19319,29613,3450,7364,11895,5279,23540,70183,24504,32383,200781,6701,26387,82410,2002
285825,414530,314617,2249192,5.39,18.87,5.36,11.18,48.14,21.04,1.88,6.6,2.57,21.42,32.63,5.24,18.16,4.9,36.18,27.52,42.12,18.88,72.28,61.02,12.43,25.58,5.82,5.35,7.57,2.35,1.82,7.02,1.46,2.89,6.08,1.11,5.05,8.19,1.73,12.43,25.58,5.82,8.31,8.22,0.13,27.71,17.99,37.62,9.22,23.62,4.22,17.58,38.82,7.09,5.7,11.54,2.72,13.45,41.56,22.56,64.74,67.32,74.49,15.19,46.14,25.86,Connecticut,1540,5936,12055,3195,15145,47322,537,2076,5780,8879,13526,1497,5713,11021,10341,8658,94735,5396,22740,137245,3552,8047,13090,1529,2381,5285,520,2208,3283,826,1912,2496,1443,2576,3891,3552,8047,13090,2375,2586,292,7920,5659,84614,2635,7431,9491,5024,12213,15946,1629,3630,6117,3844,13075,50741,18504,21180,167542,4341,14516,58164,2002
67931,102778,88251,508870,5.76,18.17,6.08,10.46,42.89,22.12,1.93,7.5,2.93,20.37,31.13,5.5,17.19,5.56,39.63,29.37,41.39,18.35,62.71,55.89,13.54,25.77,5.19,6.02,10.12,2.58,1.61,7.38,2.12,2.87,5.65,1.23,4.5,6.7,1.65,13.54,25.77,5.19,7.94,7.21,0.12,30.07,22.13,41.69,9.41,22.06,3.96,18.2,33.24,7.09,7.3,13.9,3.33,14.07,42.69,24.79,63.2,64.7,73.7,16.3,46.47,28.32,Delaware,391,1603,3093,710,3785,11256,131,661,1490,2093,3199,373,1517,2829,2692,2591,21062,1246,5534,28440,919,2274,2641,408,893,1312,109,651,1078,194,498,625,305,591,839,919,2274,2641,539,636,61,2042,1952,21214,639,1946,2015,1236,2933,3607,495,1226,1694,955,3767,12614,4293,5709,37503,1107,4101,14411,2002
37651,69849,83755,366399,3.0,16.26,8.37,5.62,39.25,24.35,1.44,6.76,4.73,16.58,31.16,2.48,16.09,8.03,43.87,37.24,47.24,13.02,67.17,58.52,11.54,26.23,8.71,4.22,6.65,3.54,0.65,4.55,3.65,2.06,6.26,2.37,3.8,8.13,1.94,11.54,26.23,8.71,6.89,8.17,0.17,28.14,19.51,36.9,7.43,24.14,6.93,14.83,37.61,10.68,5.26,6.73,2.73,7.1,33.26,26.4,61.87,74.31,76.17,9.53,37.39,29.34,District of Columbia,112,1361,3066,211,3287,8921,54,566,1733,1158,2176,93,1347,2942,1651,3119,17308,490,5625,21441,434,2196,3191,158,556,1297,24,381,1337,77,524,868,143,680,710,434,2196,3191,259,684,62,1059,1634,13520,279,2021,2539,558,3150,3913,198,563,1000,267,2785,9672,2329,6223,27908,358,3131,10750,2002
1304498,1935776,1629102,11075165,5.4,16.89,5.6,9.5,39.02,20.76,1.79,6.45,2.54,16.87,27.5,4.93,16.46,5.22,40.02,37.54,45.89,17.35,59.66,55.68,11.42,21.32,6.58,5.17,8.41,2.85,1.94,6.83,1.99,3.2,5.83,1.34,5.2,7.76,1.83,11.42,21.32,6.58,6.75,6.44,0.12,34.48,26.92,45.82,8.52,17.68,4.75,16.13,29.83,8.13,7.03,12.83,3.45,12.26,36.75,23.59,63.06,69.14,74.62,14.34,41.55,27.91,Florida,7044,27515,62020,12392,63567,229920,2335,10507,28130,32656,53233,6431,26815,57812,52206,61156,508239,22633,97192,616665,14897,34732,72874,6744,13700,31564,2530,11126,22039,4174,9497,14840,6783,12641,20267,14897,34732,72874,8805,10491,1329,44979,43855,507464,11114,28802,52607,21041,48596,90041,9170,20901,38209,15993,59869,261263,82261,112636,826428,18706,67689,309107,2002
738947,1116961,997583,5140107,4.78,14.9,6.37,8.2,33.73,20.17,1.65,5.26,3.04,15.31,24.15,4.68,14.94,5.99,42.61,38.37,49.36,15.09,52.19,49.41,10.43,17.51,5.31,5.54,8.05,3.01,1.68,5.26,2.08,2.73,3.89,1.37,4.79,5.92,1.62,10.43,17.51,5.31,5.93,4.76,0.13,35.25,30.63,47.92,6.87,13.01,3.18,14.2,23.85,6.36,8.41,10.66,3.64,12.83,35.48,25.91,64.49,67.39,73.73,15.79,41.74,31.07,Georgia,3532,14863,32742,6059,33648,103675,1219,5247,15625,17100,26974,3458,14903,30789,31486,38277,253715,11150,52063,253972,7707,17467,27293,4093,8030,15471,1241,5247,10691,2017,3880,7041,3539,5905,8326,7707,17467,27293,4381,4748,668,26047,30555,246313,5076,12978,16345,10493,23792,32691,6214,10634,18709,9480,35394,133180,47654,67227,378980,11667,41639,159703,2002
98119,152258,142674,787220,6.42,18.14,5.97,11.93,41.12,22.47,2.87,7.21,3.02,20.77,28.58,6.19,17.85,5.79,38.93,32.94,41.09,17.96,58.57,51.28,13.97,19.31,6.56,6.53,6.93,2.49,1.7,5.52,1.17,2.87,5.39,0.96,5.47,7.73,1.43,13.97,19.31,6.56,7.02,8.9,0.07,29.6,24.59,36.43,10.23,17.0,4.9,18.09,30.2,7.7,6.52,9.41,2.67,8.78,34.32,21.77,65.39,68.38,72.33,12.33,36.59,24.37,Hawaii,629,2588,4699,1170,5866,17688,281,1028,2377,3162,4351,607,2546,4558,3819,4699,32346,1762,8356,40368,1370,2755,5164,640,988,1960,166,787,921,281,769,755,536,1102,1125,1370,2755,5164,688,1269,55,2904,3508,28678,1003,2425,3857,1774,4308,6061,639,1342,2101,861,4896,17137,6416,9756,56939,1209,5220,19184,2002
131303,195653,158524,782911,7.79,18.37,6.51,11.57,36.12,19.45,2.83,7.23,3.06,18.81,26.66,7.69,18.0,6.23,37.53,30.42,42.33,17.37,53.62,51.34,11.02,15.8,4.86,5.66,7.42,2.65,1.8,5.03,0.92,3.18,4.67,0.97,5.82,7.21,1.34,11.02,15.8,4.86,6.36,5.43,0.13,36.63,26.41,41.44,7.92,12.47,3.1,14.63,24.37,5.27,8.72,13.57,3.48,12.48,39.02,22.68,65.57,68.57,74.08,14.7,43.08,27.13,Idaho,1022,2912,5096,1519,5725,15227,371,1146,2395,3680,5216,1009,2853,4877,4927,4822,33140,2280,8500,40194,1446,2504,3804,743,1176,2074,236,797,720,417,740,759,764,1142,1049,1446,2504,3804,835,860,101,4809,4186,32443,1039,1976,2427,1920,3863,4125,1144,2151,2724,1638,6185,17756,8609,10869,57998,1930,6829,21240,2002
1083159,1616011,1395765,7712164,6.08,19.49,7.21,11.7,46.77,23.22,2.25,7.59,3.25,21.63,30.52,5.84,18.98,6.77,38.28,31.51,42.61,18.65,64.16,54.1,10.83,20.22,4.8,5.22,7.5,2.29,1.67,6.53,1.82,3.26,5.0,1.15,5.01,6.96,1.34,10.83,20.22,4.8,6.24,6.87,0.13,33.22,22.9,42.05,7.61,17.43,3.23,14.46,29.61,5.9,6.76,10.92,2.42,13.0,42.75,25.85,64.55,63.86,71.28,14.97,46.68,30.33,Illinois,6585,27203,55604,12672,65279,179076,2437,10593,25064,34954,49320,6325,26491,52211,41463,43980,328615,20200,89552,417228,11730,28222,37018,5654,10468,17660,1808,9114,14036,3531,6978,8868,5426,9714,10334,11730,28222,37018,6758,9588,1002,35982,31963,324296,8242,24328,24910,15662,41328,45501,7322,15241,18663,14081,59668,199359,69917,89133,549723,16214,65154,233909,2002
534083,821738,697261,3789366,6.21,19.19,6.06,9.82,45.11,19.83,2.19,7.47,2.52,18.75,27.53,5.51,18.15,5.36,40.32,30.82,45.27,16.04,61.78,48.16,10.15,20.67,5.45,5.69,8.3,2.39,2.0,7.2,1.8,2.8,5.21,1.1,4.14,6.96,1.47,10.15,20.67,5.45,5.48,7.54,0.13,36.55,24.32,45.9,7.37,17.19,3.91,13.95,28.44,6.48,8.37,15.82,3.7,14.39,44.94,27.26,64.18,63.69,70.82,16.84,49.3,32.42,Indiana,3316,13380,22963,5244,31453,75143,1169,5208,9549,15407,22622,2942,12655,20311,21534,21489,171544,8566,43076,182495,5420,14412,20652,3038,5787,9056,1068,5020,6820,1495,3632,4168,2211,4852,5570,5420,14412,20652,2926,5257,492,19520,16957,173931,3936,11985,14816,7450,19830,24555,4470,11030,14020,7685,31334,103298,34277,44408,268362,8993,34374,122851,2002
258335,404680,329006,1837000,7.56,19.67,6.18,13.85,48.87,23.72,2.71,6.94,2.49,24.68,34.35,7.01,18.2,5.72,31.78,25.92,36.09,20.18,67.28,57.79,9.22,15.8,4.33,4.37,7.35,2.21,2.18,6.43,1.44,2.53,4.51,0.94,4.18,6.0,1.43,9.22,15.8,4.33,5.37,7.15,0.11,40.63,26.8,48.03,7.1,13.14,3.04,13.39,25.88,5.63,6.28,8.78,2.02,14.27,41.91,25.14,61.99,60.18,67.44,16.34,48.67,29.44,Iowa,1953,6471,11352,3577,16078,43573,700,2283,4574,9987,13900,1810,5987,10507,8209,8527,66297,5213,22135,106160,2381,5198,7954,1128,2418,4059,563,2115,2645,653,1483,1726,1079,1974,2626,2381,5198,7954,1387,2352,202,10496,8817,88231,1834,4323,5584,3459,8514,10342,1622,2888,3710,3686,13788,46182,16014,19799,123887,4221,16012,54081,2002
248335,383739,312314,1650114,5.12,18.49,5.24,11.56,45.26,18.63,1.81,6.81,2.28,21.9,31.31,4.98,17.7,5.02,38.43,28.12,43.47,19.41,65.89,49.96,9.33,16.67,4.43,4.49,6.66,2.21,1.8,6.31,1.48,2.66,4.66,0.95,3.88,6.29,1.16,9.33,16.67,4.43,5.13,7.68,0.11,38.79,24.23,47.07,7.39,13.92,2.79,13.24,25.44,5.29,6.14,10.84,2.84,13.95,39.62,25.06,60.16,63.55,73.52,15.57,45.68,30.73,Kansas,1271,5774,8646,2870,14135,30741,449,2126,3762,8403,12014,1236,5527,8283,9543,8782,71730,4820,20578,82439,2316,5206,7310,1115,2080,3646,447,1970,2442,660,1455,1567,963,1964,1914,2316,5206,7310,1273,2398,181,9632,7567,77670,1835,4347,4603,3287,7945,8729,1524,3385,4686,3464,12373,41351,14939,19847,121316,3866,14266,50708,2002
338184,519810,462006,2576224,5.26,14.67,4.8,11.08,38.83,16.86,1.92,5.98,2.37,19.61,28.99,5.21,14.15,4.55,39.08,33.87,44.23,18.75,58.07,40.27,11.7,18.43,6.15,6.67,9.83,3.14,2.05,6.59,1.93,3.31,4.94,1.21,5.02,6.98,1.49,11.7,18.43,6.15,6.95,6.29,0.12,38.83,26.11,44.97,8.16,14.15,3.82,16.32,26.21,6.78,9.96,17.48,4.16,17.62,53.06,33.74,58.9,53.67,64.43,23.18,58.88,38.54,Kentucky,1778,6777,12365,3747,17939,43435,649,2762,6105,10193,15069,1761,6537,11721,13216,15648,113946,6340,26828,103744,3956,8514,15843,2255,4541,8089,693,3044,4972,1119,2282,3117,1697,3224,3838,3956,8514,15843,2350,2906,309,13131,12062,115852,2759,6537,9841,5519,12109,17466,3368,8075,10717,5958,24514,86921,19919,24795,165986,7839,27202,99287,2002
422503,640339,539239,2690931,5.97,17.56,6.33,10.87,40.36,22.39,2.67,7.5,3.32,18.97,31.05,5.09,16.67,5.81,39.89,35.5,46.1,19.35,61.41,47.3,10.76,20.54,5.17,6.14,8.78,3.04,1.65,5.38,2.42,2.67,5.07,1.51,4.25,6.77,1.9,10.76,20.54,5.17,5.64,7.91,0.09,37.94,25.31,51.01,6.92,17.04,3.33,13.02,27.52,5.78,7.46,13.19,3.2,15.01,42.36,27.45,59.33,63.25,69.92,17.58,48.21,31.87,Louisiana,2522,9469,17033,4592,21763,60249,1128,4044,8933,12147,19882,2150,8989,15634,16853,19142,124051,8175,33114,127281,4546,11075,13912,2594,4734,8180,697,2901,6512,1128,2733,4063,1795,3650,5112,4546,11075,13912,2382,4265,242,16029,13648,137264,2923,9188,8960,5500,14839,15553,3151,7112,8610,6341,22842,73866,25067,34106,188149,7427,25996,85759,2002
