Country,Economic Effectiveness,Economic Legitimacy,Effectiveness Score,Legitimacy Score,Political Effectiveness,Political Legitimacy,Security Effectiveness,Security Legitimacy,Social Effectiveness,Social Legitimacy,State Fragility Index,Year
Afghanistan,4,3,13,12,3,3,3,3,3,3,25,1995
Afghanistan,4,3,12,12,2,3,3,3,3,3,24,1996
Afghanistan,4,3,12,12,2,3,3,3,3,3,24,1997
Afghanistan,4,3,12,12,2,3,3,3,3,3,24,1998
Afghanistan,4,3,12,12,2,3,3,3,3,3,24,1999
Afghanistan,4,3,12,12,2,3,3,3,3,3,24,2000
Afghanistan,4,3,12,12,2,3,3,3,3,3,24,2001
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2002
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2003
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2004
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2005
Afghanistan,4,3,12,9,2,0,3,3,3,3,21,2006
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2007
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2008
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2009
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2010
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2011
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2012
Afghanistan,4,3,11,10,2,1,3,3,2,3,21,2013
Afghanistan,4,3,11,10,2,1,3,3,2,3,21,2014
Albania,2,0,4,4,1,1,0,1,1,2,8,1995
Albania,2,0,4,4,1,1,0,1,1,2,8,1996
Albania,2,0,5,4,1,0,1,2,1,2,9,1997
Albania,2,0,6,2,2,0,1,1,1,1,8,1998
Albania,2,0,5,2,2,0,0,1,1,1,7,1999
Albania,2,0,5,2,2,0,0,1,1,1,7,2000
Albania,2,0,5,2,2,0,0,1,1,1,7,2001
Albania,2,0,6,1,2,0,1,1,1,0,7,2002
Albania,2,0,5,2,2,0,0,1,1,1,7,2003
Albania,2,0,5,2,2,0,0,1,1,1,7,2004
Albania,2,0,4,1,2,0,0,1,0,0,5,2005
Albania,2,0,4,1,2,0,0,1,0,0,5,2006
Albania,2,0,3,1,1,0,0,1,0,0,4,2007
Albania,1,0,2,1,1,0,0,1,0,0,3,2008
Albania,1,0,2,1,1,0,0,1,0,0,3,2009
Albania,1,0,2,1,1,0,0,1,0,0,3,2010
Albania,1,0,2,1,1,0,0,1,0,0,3,2011
Albania,1,0,2,0,1,0,0,0,0,0,2,2012
Albania,1,1,2,1,1,0,0,0,0,0,3,2013
Albania,1,1,1,1,0,0,0,0,0,0,2,2014
Algeria,2,3,8,10,2,3,2,3,2,1,18,1995
Algeria,2,3,8,10,2,3,2,3,2,1,18,1996
Algeria,2,3,8,10,2,3,2,3,2,1,18,1997
Algeria,2,3,8,10,2,3,2,3,2,1,18,1998
Algeria,2,3,8,10,2,3,2,3,2,1,18,1999
Algeria,2,3,8,10,2,3,2,3,2,1,18,2000
Algeria,2,3,8,10,2,3,2,3,2,1,18,2001
Algeria,2,3,7,10,2,3,2,3,1,1,17,2002
Algeria,2,3,7,10,2,3,2,3,1,1,17,2003
Algeria,2,3,7,10,2,3,2,3,1,1,17,2004
Algeria,1,3,6,10,2,3,2,3,1,1,16,2005
Algeria,1,3,6,10,2,3,2,3,1,1,16,2006
Algeria,1,3,5,10,1,3,2,3,1,1,15,2007
Algeria,1,3,5,9,1,3,2,2,1,1,14,2008
Algeria,1,3,4,9,1,3,2,2,0,1,13,2009
Algeria,1,3,4,9,1,3,2,2,0,1,13,2010
Algeria,1,3,4,9,1,3,2,2,0,1,13,2011
Algeria,1,3,5,9,2,3,2,2,0,1,14,2012
Algeria,1,3,5,9,2,3,2,2,0,1,14,2013
Algeria,1,3,4,8,1,3,2,1,0,1,12,2014
Angola,3,3,11,12,2,3,3,3,3,3,23,1995
Angola,3,3,11,12,2,3,3,3,3,3,23,1996
Angola,3,2,11,11,2,3,3,3,3,3,22,1997
Angola,2,2,10,11,2,3,3,3,3,3,21,1998
Angola,2,2,10,11,2,3,3,3,3,3,21,1999
Angola,2,3,10,12,2,3,3,3,3,3,22,2000
Angola,2,3,10,12,2,3,3,3,3,3,22,2001
Angola,2,3,10,10,2,2,3,2,3,3,20,2002
Angola,2,3,10,10,2,1,3,3,3,3,20,2003
Angola,2,3,10,10,2,1,3,3,3,3,20,2004
Angola,2,3,10,9,2,1,3,2,3,3,19,2005
Angola,2,3,10,9,2,1,3,2,3,3,19,2006
Angola,2,3,8,9,1,1,3,2,2,3,17,2007
Angola,2,3,8,9,1,1,3,2,2,3,17,2008
Angola,2,3,8,9,1,1,3,2,2,3,17,2009
Angola,2,3,7,9,1,1,2,2,2,3,16,2010
Angola,2,3,7,9,1,1,2,2,2,3,16,2011
Angola,2,3,7,9,1,1,2,2,2,3,16,2012
Angola,2,3,7,9,1,1,2,2,2,3,16,2013
Angola,2,3,7,9,1,1,2,2,2,3,16,2014
Argentina,1,1,2,3,1,0,0,1,0,1,5,1995
Argentina,1,1,2,3,1,0,0,1,0,1,5,1996
Argentina,1,1,2,3,1,0,0,1,0,1,5,1997
Argentina,1,1,2,2,1,0,0,1,0,0,4,1998
Argentina,1,1,2,2,1,0,0,1,0,0,4,1999
Argentina,1,1,2,2,1,0,0,1,0,0,4,2000
Argentina,1,1,2,2,1,0,0,1,0,0,4,2001
Argentina,1,1,2,2,1,0,0,1,0,0,4,2002
Argentina,1,1,2,2,1,0,0,1,0,0,4,2003
Argentina,1,1,2,2,1,0,0,1,0,0,4,2004
Argentina,1,1,1,1,0,0,0,0,0,0,2,2005
Argentina,1,1,1,1,0,0,0,0,0,0,2,2006
Argentina,1,1,1,1,0,0,0,0,0,0,2,2007
Argentina,1,1,1,1,0,0,0,0,0,0,2,2008
Argentina,1,1,1,1,0,0,0,0,0,0,2,2009
Argentina,1,1,1,1,0,0,0,0,0,0,2,2010
Argentina,1,1,1,2,0,0,0,1,0,0,3,2011
Argentina,1,1,1,1,0,0,0,0,0,0,2,2012
Argentina,0,1,0,1,0,0,0,0,0,0,1,2013
Argentina,0,1,0,1,0,0,0,0,0,0,1,2014
Armenia,3,0,7,1,2,1,1,0,1,0,8,1995
Armenia,3,0,7,0,2,0,1,0,1,0,7,1996
Armenia,3,0,7,1,2,0,1,1,1,0,8,1997
Armenia,3,0,7,1,2,0,1,1,1,0,8,1998
Armenia,3,0,7,1,2,0,1,1,1,0,8,1999
Armenia,3,0,7,1,2,0,1,1,1,0,8,2000
Armenia,3,0,7,2,2,0,1,1,1,1,9,2001
Armenia,3,0,6,1,2,0,0,1,1,0,7,2002
Armenia,2,0,5,2,2,1,0,1,1,0,7,2003
Armenia,2,0,5,2,2,1,0,1,1,0,7,2004
Armenia,2,0,5,2,2,1,0,1,1,0,7,2005
Armenia,2,0,4,3,2,1,0,1,0,1,7,2006
Armenia,2,0,4,2,2,0,0,1,0,1,6,2007
Armenia,2,0,3,3,1,1,0,1,0,1,6,2008
Armenia,2,1,3,4,1,1,0,1,0,1,7,2009
Armenia,2,2,3,4,1,1,0,1,0,0,7,2010
Armenia,2,2,3,4,1,1,0,1,0,0,7,2011
Armenia,2,2,3,4,1,1,0,1,0,0,7,2012
Armenia,2,2,3,4,1,1,0,1,0,0,7,2013
Armenia,2,2,3,4,1,1,0,1,0,0,7,2014
Australia,0,2,0,2,0,0,0,0,0,0,2,1995
Australia,0,2,0,2,0,0,0,0,0,0,2,1996
Australia,0,2,0,2,0,0,0,0,0,0,2,1997
Australia,0,2,0,2,0,0,0,0,0,0,2,1998
Australia,0,2,0,2,0,0,0,0,0,0,2,1999
Australia,0,2,0,2,0,0,0,0,0,0,2,2000
Australia,0,1,0,1,0,0,0,0,0,0,1,2001
Australia,0,1,0,1,0,0,0,0,0,0,1,2002
Australia,0,1,0,1,0,0,0,0,0,0,1,2003
Australia,0,2,0,2,0,0,0,0,0,0,2,2004
Australia,0,2,0,2,0,0,0,0,0,0,2,2005
Australia,0,2,0,2,0,0,0,0,0,0,2,2006
Australia,0,2,0,2,0,0,0,0,0,0,2,2007
Australia,0,2,0,2,0,0,0,0,0,0,2,2008
Australia,0,2,0,2,0,0,0,0,0,0,2,2009
Australia,0,2,0,2,0,0,0,0,0,0,2,2010
Australia,0,2,0,2,0,0,0,0,0,0,2,2011
Australia,0,2,0,2,0,0,0,0,0,0,2,2012
Australia,0,2,0,2,0,0,0,0,0,0,2,2013
Australia,0,2,0,2,0,0,0,0,0,0,2,2014
Austria,0,0,0,0,0,0,0,0,0,0,0,1995
Austria,0,0,0,0,0,0,0,0,0,0,0,1996
Austria,0,0,0,0,0,0,0,0,0,0,0,1997
Austria,0,0,0,0,0,0,0,0,0,0,0,1998
Austria,0,0,0,0,0,0,0,0,0,0,0,1999
Austria,0,0,0,0,0,0,0,0,0,0,0,2000
Austria,0,0,0,0,0,0,0,0,0,0,0,2001
Austria,0,0,0,0,0,0,0,0,0,0,0,2002
Austria,0,0,0,0,0,0,0,0,0,0,0,2003
Austria,0,0,0,0,0,0,0,0,0,0,0,2004
Austria,0,0,0,0,0,0,0,0,0,0,0,2005
Austria,0,0,0,0,0,0,0,0,0,0,0,2006
Austria,0,0,0,0,0,0,0,0,0,0,0,2007
Austria,0,0,0,0,0,0,0,0,0,0,0,2008
Austria,0,0,0,0,0,0,0,0,0,0,0,2009
Austria,0,0,0,0,0,0,0,0,0,0,0,2010
Austria,0,0,0,0,0,0,0,0,0,0,0,2011
Austria,0,0,0,0,0,0,0,0,0,0,0,2012
Austria,0,0,0,0,0,0,0,0,0,0,0,2013
Austria,0,0,0,0,0,0,0,0,0,0,0,2014
Azerbaijan,3,2,10,9,3,2,2,2,2,3,19,1995
Azerbaijan,3,2,10,8,3,2,2,1,2,3,18,1996
Azerbaijan,3,2,10,8,3,2,2,1,2,3,18,1997
Azerbaijan,3,2,10,8,3,2,2,1,2,3,18,1998
Azerbaijan,3,3,10,8,3,2,2,1,2,2,18,1999
Azerbaijan,3,3,9,7,3,2,2,1,1,1,16,2000
Azerbaijan,3,3,9,7,3,2,2,1,1,1,16,2001
Azerbaijan,3,3,9,8,3,2,2,1,1,2,17,2002
Azerbaijan,3,3,9,8,3,2,2,1,1,2,17,2003
Azerbaijan,2,2,8,7,3,2,2,1,1,2,15,2004
Azerbaijan,2,3,7,8,2,2,2,1,1,2,15,2005
Azerbaijan,2,3,7,7,2,1,2,1,1,2,14,2006
Azerbaijan,2,3,7,8,2,2,2,1,1,2,15,2007
Azerbaijan,2,3,6,8,2,2,1,1,1,2,14,2008
Azerbaijan,1,3,5,8,2,2,1,1,1,2,13,2009
Azerbaijan,1,3,4,7,2,2,1,1,0,1,11,2010
Azerbaijan,1,3,4,7,2,2,1,1,0,1,11,2011
Azerbaijan,1,3,3,7,2,2,0,1,0,1,10,2012
Azerbaijan,1,3,3,7,2,2,0,1,0,1,10,2013
Azerbaijan,1,3,3,7,2,2,0,1,0,1,10,2014
Bahrain,0,2,2,6,2,2,0,1,0,1,8,1995
Bahrain,0,2,1,6,1,2,0,1,0,1,7,1996
Bahrain,0,2,1,6,1,2,0,1,0,1,7,1997
Bahrain,0,2,1,6,1,2,0,1,0,1,7,1998
Bahrain,0,2,0,6,0,2,0,1,0,1,6,1999
Bahrain,0,3,0,7,0,2,0,1,0,1,7,2000
Bahrain,0,2,0,4,0,1,0,1,0,0,4,2001
Bahrain,0,2,0,4,0,1,0,1,0,0,4,2002
Bahrain,0,2,0,3,0,1,0,0,0,0,3,2003
Bahrain,0,3,0,4,0,1,0,0,0,0,4,2004
Bahrain,0,3,0,4,0,1,0,0,0,0,4,2005
Bahrain,0,3,0,4,0,1,0,0,0,0,4,2006
Bahrain,0,3,0,4,0,1,0,0,0,0,4,2007
Bahrain,0,3,0,4,0,1,0,0,0,0,4,2008
Bahrain,0,3,0,4,0,1,0,0,0,0,4,2009
Bahrain,0,3,1,4,1,1,0,0,0,0,5,2010
Bahrain,0,3,2,6,2,2,0,1,0,0,8,2011
Bahrain,0,3,3,6,3,2,0,1,0,0,9,2012
Bahrain,0,3,3,6,3,2,0,1,0,0,9,2013
Bahrain,0,3,3,6,3,2,0,1,0,0,9,2014
Belgium,0,0,0,0,0,0,0,0,0,0,0,1995
Belgium,0,0,0,0,0,0,0,0,0,0,0,1996
Belgium,0,0,0,0,0,0,0,0,0,0,0,1997
Belgium,0,0,0,0,0,0,0,0,0,0,0,1998
Belgium,0,0,0,0,0,0,0,0,0,0,0,1999
Belgium,0,0,0,0,0,0,0,0,0,0,0,2000
Belgium,0,0,0,0,0,0,0,0,0,0,0,2001
Belgium,0,0,0,0,0,0,0,0,0,0,0,2002
Belgium,0,0,0,0,0,0,0,0,0,0,0,2003
Belgium,0,0,0,0,0,0,0,0,0,0,0,2004
Belgium,0,0,0,0,0,0,0,0,0,0,0,2005
Belgium,0,0,0,0,0,0,0,0,0,0,0,2006
Belgium,0,0,0,1,0,1,0,0,0,0,1,2007
Belgium,0,0,0,2,0,2,0,0,0,0,2,2008
Belgium,0,0,0,2,0,2,0,0,0,0,2,2009
Belgium,0,0,0,2,0,2,0,0,0,0,2,2010
Belgium,0,0,0,2,0,2,0,0,0,0,2,2011
Belgium,0,0,0,2,0,2,0,0,0,0,2,2012
Belgium,0,0,0,2,0,2,0,0,0,0,2,2013
Belgium,0,0,0,2,0,2,0,0,0,0,2,2014
Benin,4,3,10,7,3,1,0,0,3,3,17,1995
Benin,4,3,10,7,3,1,0,0,3,3,17,1996
Benin,4,3,10,7,3,1,0,0,3,3,17,1997
Benin,4,3,10,7,3,1,0,0,3,3,17,1998
Benin,3,3,9,7,3,1,0,0,3,3,16,1999
Benin,3,3,9,7,3,1,0,0,3,3,16,2000
Benin,3,3,9,7,3,1,0,0,3,3,16,2001
Benin,3,3,9,7,3,1,0,0,3,3,16,2002
Benin,3,3,8,7,2,1,0,0,3,3,15,2003
Benin,3,3,8,7,2,1,0,0,3,3,15,2004
Benin,3,3,7,8,2,1,0,1,2,3,15,2005
Benin,3,3,6,6,1,0,0,1,2,2,12,2006
Benin,3,2,6,4,1,0,0,0,2,2,10,2007
Benin,3,2,6,5,1,0,0,1,2,2,11,2008
Benin,3,2,6,5,1,0,0,1,2,2,11,2009
Benin,3,2,5,5,0,0,0,1,2,2,10,2010
Benin,3,2,5,5,0,0,0,1,2,2,10,2011
Benin,3,2,5,4,0,0,0,0,2,2,9,2012
Benin,3,2,6,4,1,0,0,0,2,2,10,2013
Benin,3,2,6,4,1,0,0,0,2,2,10,2014
Burkina Faso,4,3,9,7,2,0,0,1,3,3,16,1995
Burkina Faso,4,3,9,7,2,0,0,1,3,3,16,1996
Burkina Faso,4,2,8,6,1,0,0,1,3,3,14,1997
Burkina Faso,4,2,8,6,1,0,0,1,3,3,14,1998
Burkina Faso,4,2,8,6,1,0,0,1,3,3,14,1999
Burkina Faso,4,2,9,6,2,0,0,1,3,3,15,2000
Burkina Faso,4,2,10,7,3,0,0,2,3,3,17,2001
Burkina Faso,4,2,9,6,2,0,0,1,3,3,15,2002
Burkina Faso,4,3,10,7,3,0,0,1,3,3,17,2003
Burkina Faso,4,3,10,6,3,0,0,0,3,3,16,2004
Burkina Faso,4,3,10,7,3,0,0,1,3,3,17,2005
Burkina Faso,4,3,10,7,3,0,0,1,3,3,17,2006
Burkina Faso,4,3,10,7,3,0,0,1,3,3,17,2007
Burkina Faso,4,3,10,7,3,0,0,1,3,3,17,2008
Burkina Faso,4,3,10,7,3,0,0,1,3,3,17,2009
Burkina Faso,4,3,10,7,3,0,0,1,3,3,17,2010
Burkina Faso,4,3,9,7,2,0,0,1,3,3,16,2011
Burkina Faso,4,3,9,7,2,0,0,1,3,3,16,2012
Burkina Faso,3,3,8,7,2,0,0,1,3,3,15,2013
Burkina Faso,3,3,7,7,1,0,0,1,3,3,14,2014
Bhutan,3,1,8,9,1,3,1,2,3,3,17,1995
Bhutan,3,1,8,7,1,3,1,0,3,3,15,1996
Bhutan,3,1,8,8,1,3,1,1,3,3,16,1997
Bhutan,3,0,7,6,1,3,0,0,3,3,13,1998
Bhutan,3,1,7,7,1,3,0,0,3,3,14,1999
Bhutan,3,1,7,7,1,3,0,0,3,3,14,2000
Bhutan,3,1,6,7,1,3,0,0,2,3,13,2001
Bhutan,3,1,6,7,1,3,0,0,2,3,13,2002
Bhutan,3,1,6,7,1,3,0,0,2,3,13,2003
Bhutan,2,1,5,7,1,3,0,0,2,3,12,2004
Bhutan,2,1,6,7,2,3,0,0,2,3,13,2005
Bhutan,2,1,5,6,1,3,0,0,2,2,11,2006
Bhutan,2,1,5,6,1,3,0,0,2,2,11,2007
Bhutan,2,1,5,5,1,2,0,0,2,2,10,2008
Bhutan,2,0,5,5,1,2,0,1,2,2,10,2009
Bhutan,2,0,5,5,1,2,0,1,2,2,10,2010
Bhutan,2,0,5,3,1,2,0,0,2,1,8,2011
Bhutan,2,0,5,3,1,2,0,0,2,1,8,2012
Bhutan,2,0,5,3,1,2,0,0,2,1,8,2013
Bhutan,2,0,5,3,1,2,0,0,2,1,8,2014
Belarus,2,0,4,0,1,0,0,0,1,0,4,1995
Belarus,2,0,4,0,1,0,0,0,1,0,4,1996
Belarus,2,0,4,1,1,0,0,1,1,0,5,1997
Belarus,2,0,5,1,2,0,0,1,1,0,6,1998
Belarus,2,0,5,1,2,0,0,1,1,0,6,1999
Belarus,2,0,5,1,2,0,0,1,1,0,6,2000
Belarus,2,0,4,1,2,0,0,1,0,0,5,2001
Belarus,2,0,5,1,2,0,0,1,1,0,6,2002
Belarus,2,0,5,1,2,0,0,1,1,0,6,2003
Belarus,2,0,5,1,2,0,0,1,1,0,6,2004
Belarus,1,0,3,1,2,0,0,1,0,0,4,2005
Belarus,1,0,2,1,1,0,0,1,0,0,3,2006
Belarus,1,0,3,1,2,0,0,1,0,0,4,2007
Belarus,1,0,3,1,2,0,0,1,0,0,4,2008
Belarus,1,0,3,1,2,0,0,1,0,0,4,2009
Belarus,1,0,3,1,2,0,0,1,0,0,4,2010
Belarus,1,0,3,1,2,0,0,1,0,0,4,2011
Belarus,1,0,3,1,2,0,0,1,0,0,4,2012
Belarus,1,0,3,1,2,0,0,1,0,0,4,2013
Belarus,1,0,2,1,1,0,0,1,0,0,3,2014
Bangladesh,4,0,12,8,3,3,2,2,3,3,20,1995
Bangladesh,4,0,12,8,3,3,2,2,3,3,20,1996
Bangladesh,4,0,11,7,2,2,2,2,3,3,18,1997
Bangladesh,4,0,11,6,2,2,2,2,3,2,17,1998
Bangladesh,4,0,11,6,2,2,2,2,3,2,17,1999
Bangladesh,4,0,11,6,2,2,2,2,3,2,17,2000
Bangladesh,4,0,9,6,1,2,1,2,3,2,15,2001
Bangladesh,4,0,8,6,1,2,1,2,2,2,14,2002
Bangladesh,4,0,8,6,1,2,1,2,2,2,14,2003
Bangladesh,4,0,8,6,1,2,1,2,2,2,14,2004
Bangladesh,4,0,7,6,1,2,0,2,2,2,13,2005
Bangladesh,4,0,7,6,1,2,0,2,2,2,13,2006
Bangladesh,4,0,8,6,2,2,0,2,2,2,14,2007
Bangladesh,4,0,8,5,2,1,0,2,2,2,13,2008
Bangladesh,3,0,7,5,2,1,0,2,2,2,12,2009
Bangladesh,3,0,7,5,2,1,0,2,2,2,12,2010
Bangladesh,3,0,7,5,2,1,0,2,2,2,12,2011
Bangladesh,3,0,7,5,2,1,0,2,2,2,12,2012
Bangladesh,3,0,7,6,2,2,0,2,2,2,13,2013
Bangladesh,3,0,7,6,2,2,0,2,2,2,13,2014
Bolivia,3,2,7,6,2,1,0,1,2,2,13,1995
Bolivia,3,2,7,6,2,1,0,1,2,2,13,1996
Bolivia,3,2,7,6,2,1,0,1,2,2,13,1997
Bolivia,3,1,7,4,2,1,0,0,2,2,11,1998
Bolivia,3,1,6,5,1,1,0,1,2,2,11,1999
Bolivia,3,1,5,5,0,1,0,1,2,2,10,2000
Bolivia,3,2,5,6,0,1,0,1,2,2,11,2001
Bolivia,3,2,5,6,0,1,0,1,2,2,11,2002
Bolivia,3,2,5,7,0,2,0,1,2,2,12,2003
Bolivia,3,2,5,7,0,2,0,1,2,2,12,2004
Bolivia,3,2,6,7,1,2,0,1,2,2,13,2005
Bolivia,3,3,6,7,1,2,0,1,2,1,13,2006
Bolivia,3,3,5,7,1,2,0,1,1,1,12,2007
Bolivia,3,3,5,7,1,2,0,1,1,1,12,2008
Bolivia,3,3,5,7,1,2,0,1,1,1,12,2009
